"","title","year","length","rating","votes"
"13061","Deathrow",2000,118,5.4,12
"13063","Deathsport",1978,82,3.7,144
"13064","Deathstalker",1983,80,3.5,279
"13065","Deathstalker and the Warriors from Hell",1989,86,2,313
"13075","Debt Collector, The",1999,109,6.6,212
"13090","Decay",1998,80,6.5,8
"13098","Decima vittima, La",1965,92,6.9,302
"13116","Decoy",1995,98,4.6,118
"13125","Deep Blue Sea",1999,105,5.5,17666
"13128","Deep Core",2000,80,3.3,257
"13129","Deep Cover",1992,107,6.6,1399
"13130","Deep Cover",1996,108,3.7,15
"13137","Deep Freeze",2003,80,2.1,116
"13142","Deep Rising",1998,97,5.4,4626
"13157","Deewaar",1975,174,7.5,190
"13162","Defender, The",2004,90,6.3,58
"13165","Defense Play",1988,88,4.3,17
"13167","Defiance",1980,103,5.5,140
"13179","Dei seung chui keung",2001,89,4.9,17
"13229","Delivery, The",1999,105,5.1,276
"13235","Delos Adventure, The",1987,98,3.5,9
"13240","Delta Force 2: The Colombian Connection",1990,111,4,598
"13241","Delta Force 3: The Killing Game",1991,97,2.8,119
"13242","Delta Force One: The Lost Patrol",1999,93,3.1,57
"13243","Delta Force, The",1986,125,5.1,1634
"13245","Delta Heat",1992,97,4.7,96
"13262","Demo Crew, The",2001,108,2.5,23
"13267","Demokratiske terroristen, Den",1992,96,5.8,236
"13269","Demolition High",1996,84,3.7,187
"13270","Demolition Highway",1996,86,1,8
"13271","Demolition Man",1993,115,6.1,15100
"13272","Demolitionist, The",1995,100,4.1,238
"13282","Demoner",1986,127,5,31
"13342","Derailed",2002,89,3.4,1075
"13377","Des diamants pour l'enfer",1975,75,4.1,12
"13399","Desert Command",1946,70,3.9,36
"13401","Desert Fox: The Story of Rommel, The",1951,88,7.1,534
"13404","Desert Hawk, The",1950,77,5.1,25
"13464","Desperado",1995,106,6.8,17929
"13483","Desperate Measures",1998,100,5.6,2956
"13496","Desquite, El",1983,95,3.1,8
"13507","Destination Vegas",1995,78,2.5,45
"13519","Destruction Inc.",1942,9,7.1,37
"13532","Detail, The",1997,87,3.3,12
"13544","Detention",2003,98,4.1,223
"13545","Detenute violente",1985,90,2.9,15
"13553","Detonator",1998,84,3.5,26
"13554","Detonator",2003,92,4,52
"13559","Detroit 9000",1973,106,5.4,124
"13566","Deuces Wild",2002,100,5.3,1511
"13597","Devastator, The",1985,79,5,16
"13598","Devasuram",1993,187,7,7
"13611","Devil Diamond",1937,61,5.6,8
"13612","Devil Dogs of the Air",1935,85,5.7,43
"13647","Devil's Brigade, The",1968,130,6.4,491
"13656","Devil's Hairpin, The",1957,83,5.1,5
"13665","Devil's Own, The",1997,111,5.7,8485
"13668","Devil's Playground, The",1946,65,7,16
"13682","Devious Beings",2002,97,3.5,83
"13702","Dharam Veer",1977,165,7.7,37
"13707","Dhool",2003,180,7.3,11
"13708","Dhoom",2004,129,7,143
"13712","Di yi lei xing wei xian",1980,92,7.7,60
"13728","Diabolik",1968,99,4.7,637
"13754","Diamond Ninja Force",1986,92,3,13
"13757","Diamond Run",1996,110,2.6,18
"13759","Diamondbacks",1998,91,1.9,26
"13762","Diamonds Are Forever",1971,120,6.6,8738
"13767","Dian zhi gong fu gan chian chan",1980,94,5.4,242
"13807","Dick Barton Strikes Back",1949,73,4.6,8
"13809","Dick Tracy",1945,61,5.4,118
"13810","Dick Tracy",1990,105,5.7,9939
"13811","Dick Tracy Meets Gruesome",1947,65,5.5,219
"13812","Dick Tracy Returns",1938,254,7.8,95
"13813","Dick Tracy vs. Crime Inc.",1941,263,8,85
"13814","Dick Tracy vs. Cueball",1946,62,5.3,188
"13815","Dick Tracy's Dilemma",1947,60,5.4,138
"13816","Dick Tracy's G-Men",1939,302,7.5,85
"13831","Die Another Day",2002,133,6.4,22136
"13832","Die Hard",1988,131,8,58870
"13834","Die Hard 2",1990,124,6.7,22987
"13836","Die Hard: With a Vengeance",1995,131,7,25258
"13842","Die xue jie tou",1990,126,7.6,1805
"13843","Die xue shuang xiong",1989,104,8,9323
"13849","Dieci gladiatori, I",1963,104,3.9,10
"13869","Digimon: The Movie",2000,82,3.4,455
"13870","Digital Man",1995,95,4.6,83
"13878","Dikiy vostok",1993,98,3.8,22
"13894","Dilemma",1997,83,3.9,49
"13899","Dillinger",1973,107,6.4,554
"13900","Dillinger and Capone",1995,95,4.4,83
"13922","Ding tian li di",1973,86,4.1,79
"13924","Dingaka",1965,98,6.6,20
"13944","Dinosaur Island",1994,85,3.2,198
"13945","Dinosaur Valley Girls",1996,94,4,28
"13948","Dio perdona... Io no!",1968,109,5.8,179
"13959","Diplomatic Siege",1999,96,3.5,340
"13963","Direct Action",2004,97,5.3,66
"13964","Direct Hit",1994,89,4,54
"13981","Dirt Gang, The",1972,89,2,37
"13992","Dirty Dozen, The",1967,145,7.7,7340
"13997","Dirty Harry",1971,99,7.6,11108
"13998","Dirty Harry's Way",1971,7,5.8,13
"14002","Dirty Mary Crazy Larry",1974,93,5.8,566
"14004","Dirty Money",1995,105,4.5,35
"14026","Disaster",2001,90,2.6,45
"14033","Disco Godfather",1979,93,3.3,147
"14057","Disorganized Crime",1989,98,5.2,409
"14059","Disparen a matar",1990,109,7.3,9
"14070","Distant Drums",1951,101,6.1,171
"14071","Distant Justice",1992,94,3.8,10
"14095","Diva",1981,123,7.2,2835
"14140","Dixie Dynamite",1976,88,4.5,22
"14153","Django",1966,91,7.1,772
"14155","Django il bastardo",1969,107,5.4,61
"14177","Do Not Disturb",1999,94,4.7,678
"14186","Do koske",1998,97,6.8,55
"14187","Do ma daan",1986,104,7.5,419
"14188","Do or Die",1991,97,3.9,99
"14197","Doberman Gang, The",1972,87,5.7,118
"14198","Dobermann",1997,103,6.5,2791
"14200","Doberuman deka",1977,90,7.1,17
"14220","Docteur Justice",1975,105,4.1,6
"14233","Doctor Mordrid",1992,74,5.3,158
"14285","Dog Soldiers",2002,104,6.8,5782
"14291","Dog Tags",1990,93,4.4,18
"14321","Dogs of War, The",1981,102,6,1022
"14337","Doida Demais",1989,105,5,23
"14358","Dokuritsu gurentai",1959,109,7.6,6
"14361","Dolai",1985,110,3.6,5
"14371","Dolemite",1975,90,5.4,534
"14376","Doll Squad, The",1974,101,4,75
"14381","Dollman",1991,79,4.2,186
"14429","Don Camillo",1983,126,4.9,179
"14438","Don Is Dead, The",1973,115,5.2,74
"14458","Don Winslow of the Coast Guard",1943,245,6.9,11
"14459","Don Winslow of the Navy",1942,237,5.7,17
"14492","Don't Lose Your Head",1966,90,6.3,257
"14494","Don't Mess with My Sister",1985,94,2.5,40
"14564","Donna che venne dal mare, La",1957,96,5.4,5
"14582","Donor, The",1997,94,4.6,67
"14585","Donovan's Reef",1963,109,6.5,1062
"14596","Doomed Caravan",1941,62,7.8,14
"14602","Doomsdayer",2000,93,4.3,70
"14612","Doosaboo ilchae",2001,98,6.2,90
"14621","Dora-heita",2000,111,7,87
"14647","Dos tipos duros",2003,99,6.2,65
"14653","Dostana",1980,152,7,40
"14655","Dostoyanie respubliki",1971,138,7,33
"14676","Double Agent 73",1974,73,3.1,117
"14677","Double Bang",2001,104,5.2,135
"14678","Double Blast",1994,89,2.2,34
"14686","Double Deception",2001,87,4.3,43
"14687","Double Dragon",1994,89,3.1,1497
"14696","Double Impact",1991,109,4.5,2749
"14704","Double Nickels",1977,87,2.9,11
"14709","Double Take",2001,91,4.8,1503
"14711","Double Tap",1997,87,5.3,184
"14712","Double Target",1987,102,2.9,24
"14713","Double Team",1997,93,3.9,2857
"14725","Doublecross On Costa's Island",1997,88,8.7,13
"14755","Down",2001,110,4.5,637
"14773","Down Twisted",1987,89,4.2,79
"14781","Down for the Barrio",1997,87,1.3,13
"14801","Downtown",1990,96,5.2,295
"14850","Dr. No",1962,110,7.2,11864
"14878","Dracula the Impaler",2002,90,2.6,14
"14896","Dragon Against Vampire",1985,82,2.3,14
"14902","Dragon Fire",1993,90,4.2,39
"14906","Dragon, the Hero",1979,87,5.7,18
"14907","Dragon: The Bruce Lee Story",1993,119,6.7,3244
"14915","Dragonslayer",1981,109,6.4,1965
"14920","Dragstrip Girl",1957,69,4.7,14
"14951","Dream Warrior",2004,95,2.7,57
"15032","Drive",1997,117,6.4,1086
"15045","Driven",2001,116,4.4,7129
"15056","Droid Gunner",1995,90,3.1,77
"15068","Drop Zone",1994,101,5.5,3104
"15090","Drum",1976,100,4.2,115
"15099","Drums of Fu Manchu",1940,269,8.3,29
"15123","Du bi quan wang da po xue di zi",1975,81,7.2,463
"15131","Du shen xu ji",1994,126,6.8,295
"15141","Dubei dao",1967,111,7.3,92
"15199","Due superpiedi quasi piatti, I",1976,98,6.4,460
"15212","Duellists, The",1977,95,7.4,1929
"15249","Dune",1984,190,6.3,16903
"15251","Dune Warriors",1990,80,3.7,40
"15253","Dung fong bat baai 2: fung wan joi hei",1992,107,5.9,235
"15254","Dung fong saam hap",1993,86,6.7,726
"15255","Dung fong tuk ying",1986,93,7.2,220
"15258","Dungeons & Dragons",2000,107,4,7435
"15268","Duplicate",1998,164,5.9,87
"15275","Duri a morire",1978,88,6.4,14
"15288","Dust Off the Wings",1997,78,4.7,41
"15290","Dust to Glory",2005,97,7.6,57
"15291","Dusting Cliff 7",1996,95,3.5,80
"15331","Dykket",1989,90,6.8,101
"15335","Dynamite Brothers",1974,90,1.3,21
"15363","E poi lo chiamarono il magnifico",1972,123,6.2,153
"15364","E tan qun hing ying hui",1976,96,3.6,16
"15369","E=mc2",2002,93,5.1,101
"15378","Eagle Island",1986,90,5.6,20
"15380","Eagle and the Hawk, The",1933,68,7,79
"15409","Earthquake",1974,140,5.2,2106
"15449","Easy Rider",1969,94,7.2,10230
"15455","Easy Wheels",1989,94,3.8,52
"15470","Eat the Rich",1987,90,5.2,239
"15475","Eating Air",1999,100,5.2,43
"15527","Eddie Macon's Run",1983,95,5.3,161
"15540","Edge of Eternity",1959,80,5.8,44
"15549","Edge, The",1997,117,6.6,6035
"15588","Eger",2004,102,5,10
"15616","Eiger Sanction, The",1975,123,6.2,1701
"15623","Eight Legged Freaks",2002,99,5.5,6362
"15627","Eighteen Jade Arhats, The",1979,89,5.6,12
"15629","Eighteenth Angel, The",1998,95,4.6,557
"15653","Eitoman - Subete no sabishii yoru no tame ni",1992,83,4.3,18
"15654","Ek Aur Ek Gyarah",2003,205,6,36
"15662","Ekipazh",1980,144,6.4,69
"15672","El Dorado",1966,126,7.5,2432
"15691","Electra Glide in Blue",1973,114,6.7,493
"15693","Electric Dragon 80.000 V",2001,55,6.9,226
"15706","Elektra",2005,96,4.9,5120
"15714","Elephant Called Slowly, An",1969,91,4,10
"15730","Eliana em O Segredo dos Golfinhos",2005,94,7.4,14
"15733","Eliminators",1986,96,3.4,130
"15740","Elite",2000,99,3.8,157
"15800","Elysium",2003,85,3.3,52
"15805","Emanuelle fuga dall'inferno",1983,90,5.1,46
"15824","Emerald Forest, The",1985,110,6.6,1447
"15871","Emmerdeuses, Les",1976,82,6.4,5
"15880","Emperor of the North Pole",1973,116,7,708
"15887","Empire",2002,90,6,1718
"15890","Empire des loups, L'",2005,128,4.4,54
"15891","Empire of Ash II",1988,86,3.3,24
"15892","Empire of Ash III",1989,98,3.4,13
"15895","Empire of the Spiritual Ninja",1987,90,3.8,6
"15934","En medio de la nada",1994,93,5.4,6
"15986","End of Days",1999,121,5.3,18237
"15995","End of the Law",2003,88,3.3,22
"16006","End, The",2000,41,8.1,42
"16012","Endgame - Bronx lotta finale",1983,98,4.7,64
"16028","Enemy",1996,92,2.7,6
"16029","Enemy Below, The",1957,98,7.6,1137
"16031","Enemy Gold",1993,92,2.7,79
"16033","Enemy Territory",1987,89,5.5,66
"16034","Enemy at the Gates",2001,131,7.3,19169
"16038","Enemy of the State",1998,131,7.1,23263
"16065","Enforcer from Death Row",1978,84,2.6,17
"16103","Enraged New World, An",2002,50,8.9,25
"16113","Enteng Kabisote: Okay Ka Fairy, the Legend",2004,114,5.4,10
"16120","Enter the Blood Ring",1995,94,1.8,11
"16122","Enter the Dragon",1973,99,7.4,8078
"16124","Enter the Ninja",1981,101,4.6,211
"16125","Enter the Panther",1976,89,4.1,8
"16169","Epicenter",2000,99,4,204
"16172","Epikindini (mia diamartiria), I",1983,91,7.8,11
"16178","Equal Impact",1995,105,3.3,18
"16179","Equalizer 2000",1986,85,3.9,39
"16182","Equilibrium",2002,107,7.6,17579
"16191","Era of Vampire, The",2002,90,4.2,329
"16194","Eraser",1996,115,5.8,14641
"16200","Ercole al centro della terra",1961,77,5.8,140
"16202","Ercole contro Molock",1963,75,3.6,28
"16205","Ercole e la regina di Lidia",1959,105,4.3,182
"16207","Ercole sfida Sansone",1963,86,4.7,42
"16208","Ercole, Sansone, Maciste e Ursus gli invincibili",1964,100,6.3,6
"16253","Erotic Adventures of Zorro, The",1972,102,4.2,32
"16295","Esa ja Vesa - auringonlaskun ratsastajat",1994,88,5.1,132
"16310","Escape From Hellhole",1983,100,4.3,9
"16314","Escape Velocity",1998,100,3.7,90
"16317","Escape from Chernobourg",1999,75,3.7,18
"16319","Escape from Cuba",2003,97,5.7,19
"16322","Escape from L.A.",1996,101,4.8,7955
"16323","Escape from New York",1981,99,6.8,9924
"16326","Escape from Zahrain",1962,93,5,63
"16327","Escape from the Planet of the Apes",1971,98,5.8,2951
"16330","Escape to Athena",1979,120,5.2,429
"16352","Esecutori, Gli",1976,92,4,59
"16356","Eskapo: The Serge Osmena-Geny Lopez Story",1995,117,6.6,12
"16388","Est-ce bien raisonnable?",1981,109,4.1,14
"16412","Estrella del sur",2002,97,4.7,6
"16449","Eunhaengnamoo chimdae",1996,88,5.6,110
"16474","Evase - Storie di sesso e di violenze, Le",1978,91,5.1,22
"16475","Evasive Action",1998,91,4.3,59
"16481","Eve of Destruction",1991,99,4.5,376
"16484","Evel Knievel",1971,88,4.7,136
"16491","Evenfall",2005,30,8.4,7
"16573","Evil Cult",2003,90,6.7,17
"16574","Evil Dead II",1987,85,7.6,15743
"16588","Evil That Men Do, The",1984,90,4.8,371
"16627","Exception to the Rule",1997,98,4.8,88
"16629","Excessive Force",1993,90,4.2,214
"16630","Excessive Force II: Force on Force",1995,88,4.3,81
"16639","Executioner, Part II, The",1984,85,2.8,16
"16643","Executive Decision",1996,134,6.3,7653
"16645","Executive Target",1997,92,4.6,262
"16662","Exit",1996,90,3.4,47
"16665","Exit Wounds",2001,101,5.3,5370
"16667","Exit the Dragon, Enter the Tiger",1976,84,4.6,26
"16669","Exit... nur keine Panik",1980,105,4.8,12
"16672","Exodus",1960,208,6.8,1161
"16679","Exorcist: The Beginning",2004,114,5,4130
"16685","Expect No Mercy",1995,91,3.2,78
"16688","Expendables, The",1988,89,4.3,16
"16700","Expert, The",1995,92,4,114
"16713","Explozia",1973,112,4.4,17
"16727","Exterminator 2",1984,89,2.9,204
"16728","Exterminator, The",1980,104,4.6,457
"16729","Extermineitors III: La gran pelea final",1991,85,3.3,19
"16730","Extermineitors IV: Como hermanos gemelos",1992,90,3.3,27
"16731","Extermineitors, Los",1989,90,3.7,43
"16744","Extras",1998,110,4.9,15
"16748","Extreme Days",2001,93,4.8,342
"16749","Extreme Force",2001,90,4.6,22
"16750","Extreme Justice",1993,96,4.7,205
"16752","Extreme Ops",2002,94,4,1337
"16753","Extreme Prejudice",1987,104,5.9,682
"16760","Eye for an Eye, An",1981,97,4.9,303
"16765","Eye of the Eagle",1986,84,4,18
"16766","Eye of the Eagle 2: Inside the Enemy",1989,78,3.7,22
"16771","Eye of the Tiger",1986,92,3.8,109
"16809","F/X",1986,109,6.5,3946
"16810","F/X2",1991,108,5.3,1514
"16818","Fa qian han",1977,92,3.5,15
"16833","Facade",2000,93,4.8,93
"16853","Face of the Serpent, The",2003,100,5.1,24
"16860","Face/Off",1997,133,7.1,37506
"16892","Fah",1998,118,5.1,18
"16893","Fah talai jone",2000,101,7.1,471
"16902","Fair Game",1986,90,5,45
"16903","Fair Game",1995,91,3.9,2579
"16906","Fair Wind to Java",1953,92,5.8,47
"16921","Faith",1990,101,1.8,12
"16932","Fake-Out",1982,96,4.6,29
"16939","Falcon Down",2000,93,4.4,112
"16955","Falkland Man, The",2001,77,5.2,15
"16957","Fall",2000,97,1.5,249
"16992","Fallout",1998,90,3.2,113
"17002","False Colors",1943,65,6.3,24
"17008","False Paradise",1948,59,7.1,18
"17079","Fang shiyu",1973,90,4.2,33
"17115","Fantastici tre supermen, I",1967,94,7.9,11
"17169","Farewell to the King",1989,115,5.6,403
"17170","Farewell, My Love",2001,90,4.7,51
"17177","Farlig farvann",1995,85,6.2,70
"17195","Farmer, The",1977,97,4.7,31
"17202","Farz",1967,170,5.8,5
"17226","Fast Getaway",1991,86,4.3,246
"17233","Fast Money",1995,93,5.5,306
"17247","Fast and the Furious, The",2001,106,5.7,21428
"17253","Faster, Pussycat! Kill! Kill!",1965,83,6.5,1242
"17272","Fatal Beauty",1987,104,4.4,528
"17274","Fatal Choice",1995,95,4.1,11
"17275","Fatal Conflict",2000,92,2.3,47
"17288","Fatal Sky",1990,92,5.6,20
"17366","Fear",1988,96,4.4,40
"17371","Fear Is the Key",1972,99,5.8,178
"17380","Fear of Flying",2000,96,4.6,612
"17391","Fearless Tiger",1994,88,2.9,39
"17434","Fei hu xiong xin",1994,103,5.2,46
"17435","Fei lung maang jeung",1988,102,7.2,635
"17437","Fei ying",2004,99,5.5,128
"17438","Fei ying gai wak",1990,80,6.9,1840
"17460","Felony",1996,93,3.6,72
"17509","Femmine in fuga",1985,90,4,41
"17512","Fen nu qing nian",1973,100,6.5,17
"17513","Fence, The",1994,91,4.1,74
"17517","Feng yun xiong ba tian xia",1998,85,6.3,922
"17539","Ferocious Female Freedom Fighters",1982,90,4.9,45
"17546","Ferry to Hong Kong",1959,112,5.3,58
"17581","Fever Heat",1968,109,5.5,7
"17586","Fever in the Blood, A",2002,12,7.6,14
"17614","Field of Fire",1991,96,5,19
"17616","Field of Honor, A",1973,15,7.7,32
"17644","Fifth Element, The",1997,126,7.1,55398
"17654","Fifty/Fifty",1992,101,4.5,74
"17659","Fight for Your Life",1977,82,6.4,95
"17666","Fighter Squadron",1948,96,5.9,91
"17672","Fighting Black Kings",1976,90,3.7,7
"17680","Fighting Fish",2004,90,3.7,82
"17684","Fighting Irish",2003,104,1.5,14
"17685","Fighting Kentuckian, The",1949,100,5.9,344
"17688","Fighting Mad",1976,88,5.5,60
"17690","Fighting Marines, The",1935,216,7.2,10
"17691","Fighting O'Flynn, The",1949,94,6,31
"17694","Fighting Seabees, The",1944,100,6.1,417
"17705","Figlio del capitano Blood, Il",1962,88,4.9,16
"17771","Fils du vent, Les",2004,90,3.4,90
"17786","Final Alliance, The",1990,90,3.2,24
"17790","Final Chapter: Walking Tall",1977,112,4.3,118
"17791","Final Comedown, The",1972,83,5.5,28
"17805","Final Equinox",1995,90,4.4,13
"17806","Final Exam",1981,89,3.2,121
"17807","Final Fantasy: The Spirits Within",2001,106,6.5,16451
"17808","Final Goal, The",1995,85,3.9,26
"17809","Final Impact",1992,99,3.9,55
"17811","Final Justice",1984,92,1.7,369
"17812","Final Mission",1984,101,4.2,27
"17813","Final Payback",1999,102,4,47
"17818","Final Score",1986,88,3.9,6
"17819","Final Solution",2001,110,7,32
"17825","Final Voyage",1999,93,3.1,204
"17840","Finding Interest",1994,92,5,31
"17886","Fire Birds",1990,85,4.2,1098
"17892","Fire Down Below",1997,105,4.3,2258
"17895","Fire In the Night",1986,89,4.3,5
"17898","Fire Over Afghanistan",2003,92,4.5,67
"17903","Fire and Ice",1986,83,3.3,84
"17907","Fireback",1978,90,4.6,16
"17908","Fireball 500",1966,92,4.8,47
"17915","Firecracker",1981,77,5.7,26
"17920","Firefox",1982,136,5.5,3401
"17921","Firehead",1991,80,3.4,33
"17929","Firepower",1993,95,4.5,57
"17936","Firestorm",1995,90,3.2,50
"17937","Firestorm",1998,89,4.4,987
"17939","Firewalker",1986,104,3.9,583
"17950","First Blood",1982,97,6.8,11956
"17958","First Great Train Robbery, The",1979,110,6.9,1758
"17991","First of the Few, The",1942,90,6.8,97
"18004","Fish Out of Water",1999,95,4.1,27
"18023","Fist Fighter",1989,97,4.8,52
"18025","Fist of Fear, Touch of Death",1980,90,2.1,190
"18026","Fist of Glory",1990,93,4.3,10
"18029","Fists of Bruce Lee",1978,92,2.7,23
"18030","Fists of Iron",1995,94,3.7,34
"18058","Five Golden Dragons",1967,70,5.1,15
"18065","Five Loose Women",1974,70,2.8,27
"18073","Five Star Stories",1989,65,6.3,19
"18079","Five the Hard Way",1969,82,1.4,285
"18106","Flame of Calcutta",1953,70,4.6,6
"18134","Flash Gordon",1980,111,5.7,5626
"18135","Flash Gordon Conquers the Universe",1940,195,6.4,192
"18136","Flash and the Firecat",1976,84,3,16
"18140","Flashback",1990,108,5.7,968
"18142","Flashfire",1993,88,3.9,82
"18143","Flashpoint",1984,94,6.1,238
"18162","Fled",1996,105,5,1943
"18172","Flesh & Blood",1985,117,6.3,2047
"18191","Fleshburn",1984,90,4.1,21
"18207","Flic ou voyou",1979,105,6.1,206
"18234","Flight of the Ibis",1996,94,7.2,8
"18235","Flight of the Intruder",1991,115,5.2,1004
"18238","Flight of the Phoenix",2004,113,6,2732
"18239","Flight of the Phoenix, The",1965,142,7.6,2545
"18275","Floods of Fear",1959,84,5.8,21
"18315","Fluch des schwarzen Rubin, Der",1965,94,3.5,9
"18333","Fly Me",1973,72,3.8,7
"18352","Flying Disc Man from Mars",1950,167,4.9,20
"18362","Flying Leathernecks",1951,102,6.1,492
"18374","Flying Tigers",1942,102,6.5,449
"18375","Flying Virus",2001,95,3.5,179
"18379","Fo Zhang luo han quan",1980,86,5.9,60
"18428","Fong Sai-Yuk",1993,100,7,1337
"18429","Fong Shi Yu II: Wan fu mo di",1993,95,6.8,691
"18433","Foo gwai lit che",1986,98,6.7,108
"18450","Foolproof",2003,94,6.6,845
"18481","For Better or Worse",1996,105,5.1,153
"18494","For Life or Death",1996,94,3.8,5
"18520","For Your Eyes Only",1981,127,6.7,8061
"18521","For a Few Lousy Dollars",1996,88,5.1,59
"18558","Forbidden Warrior",2004,91,4.6,59
"18565","Force 10 from Navarone",1978,118,5.9,2275
"18571","Force of One, A",1979,90,4.5,253
"18574","Force, The",1994,94,3.9,62
"18575","Force: Five",1981,96,4.4,53
"18579","Forced Vengeance",1982,90,4.6,192
"18580","Forced to Kill",1993,93,4,29
"18597","Foreigner, The",2003,96,3.1,904
"18601","Forest Rangers, The",1942,87,7.4,50
"18602","Forest Warrior",1996,93,3.7,162
"18646","Fort Algiers",1953,78,5.5,14
"18648","Fort Apache the Bronx",1981,125,6.3,950
"18654","Fort Saganne",1984,175,6.3,141
"18662","Fortress",1993,95,5.3,2577
"18663","Fortress 2",1999,92,4.2,1027
"18674","Fortunes of War",1993,107,5.2,48
"18709","Four Deuces, The",1976,87,5,34
"18731","Four Musketeers, The",1974,108,7,1564
"18747","Four.50",2003,6,4.7,6
"18751","Fourth Angel, The",2001,95,5.4,597
"18763","Fox Hunt",1996,95,6.1,98
"18777","Foxtrap",1986,88,3.5,23
"18780","Foxy Brown",1974,87,6.1,763
"18797","Frame Up",1991,90,5.1,11
"18799","Frame-Up II: The Cover-Up",1996,92,4.6,11
"18802","Framed",1975,106,5.4,47
"18810","France Five",2000,30,8,8
"18847","Frankenfish",2004,84,4.6,309
"18906","Frauen im Liebeslager",1977,69,5.4,27
"18914","Freak Out",2004,92,6.8,45
"18932","Freddy Vs. Jason",2003,97,6.1,11109
"18942","Free Fall",1999,92,4.7,123
"18963","Freedom Strike",1998,93,3.3,106
"18965","Freejack",1992,110,4.9,2928
"18971","Freeware",2000,7,5,12
"18988","French Connection II",1975,119,6.5,1971
"18989","French Connection, The",1971,104,7.8,11783
"19000","French Quarter Undercover",1985,84,4,5
"19036","Friday Foster",1975,90,5.5,144
"19037","Friday Night Date, A",2000,96,2.3,283
"19042","Friday the 13th Part 2",1981,87,4.9,3794
"19044","Friday the 13th Part VI: Jason Lives",1986,87,4.7,2902
"19102","Fritz the Cat",1972,80,5.8,1109
"19111","Frogmen Operation Stormbringer",2002,90,3.1,60
"19116","Frogtown II",1993,90,2.5,43
"19122","From Dusk Till Dawn",1996,108,6.8,28473
"19124","From Hand to Mouth",1919,24,7.1,36
"19142","From Russia with Love",1963,115,7.3,10291
"19165","Frontera",1978,95,6.2,5
"19166","Frontera Sur",1993,90,7,7
"19204","Fu gui bing tuan",1989,89,5.4,15
"19226","Fuga dal Bronx",1983,85,3,173
"19227","Fuga dall'archipelago maledetto",1982,96,5.4,21
"19240","Fugitive in the Sky",1936,58,6.2,22
"19243","Fugitive, The",1993,130,7.7,48292
"19249","Fuk sing go jiu",1985,96,6.1,344
"19260","Full Blast",1997,91,5.9,19
"19263","Full Clip",2004,95,4.1,72
"19265","Full Fathom Five",1990,82,2.6,36
"19269","Full Impact",1997,72,2,35
"19291","Funeral in Berlin",1966,102,6.5,500
"19328","Furia, La",1997,105,4.3,30
"19330","Furin kazan",1969,165,6.7,35
"19344","Fury in the Shaolin Temple",1979,83,6.1,14
"19346","Fury of the Dragon",1976,89,5.9,56
"19355","Future Fear",1997,77,2.3,58
"19356","Future Hunters",1986,96,3.1,40
"19358","Future Kick",1991,76,2.6,53
"19360","Future Murder",2000,92,6.4,51
"19362","Future War",1997,90,1.6,1622
"19373","Fylakes anilikon",1982,100,5.7,23
"19381","G-Men Never Forget",1948,167,7,15
"19382","G-Men from Hell",2000,98,4.7,93
"19388","G.I. Executioner",1975,86,1.1,18
"19391","G.I. Jane",1997,124,5.5,9116
"19394","G.O.D.",2001,91,4.2,38
"19396","G.P.U.",1942,99,8.8,5
"19400","Ga li la jiao",1990,101,6.5,77
"19403","Gaayam",1993,140,7.1,10
"19419","Gabriels ord",2002,35,7.8,12
"19435","Gagamboy",2004,100,4.9,21
"19440","Gai shi ji hua",1984,87,6.1,7
"19460","Galaxis",1995,91,3,150
"19464","Galaxy of Terror",1981,81,4,324
"19475","Gall Force: Eternal Story",1986,196,6.1,43
"19476","Gallagher's Travels",1987,94,6.6,7
"19478","Gallant Blade, The",1948,81,6.1,8
"19515","Game of Death",1978,35,5.3,1416
"19533","Gameui beobjig",1994,110,4.5,8
"19534","Gamitan",2002,115,5.7,12
"19555","Gang Leader",1991,155,8.3,9
"19560","Gang Wars",1976,82,3.9,6
"19561","Gang Warz",2004,97,6,19
"19563","Gang in Blue",1996,97,5.3,151
"19564","Gang of Roses",2003,94,2.6,87
"19571","Gangland",1998,97,5.2,15
"19572","Gangland",2000,82,2.8,121
"19573","Gangpae sueob",1996,108,4.4,9
"19577","Gangstaz n Cash",1996,27,6.1,8
"19583","Gangster's Den, The",1945,55,4.8,12
"19586","Gangsters",2002,90,6,127
"19588","Gangsters per un massacro",1968,89,4.8,6
"19592","Ganheddo",1989,97,4.4,146
"19598","Gao yang yi sheng",1992,89,6.1,86
"19627","Garden of Evil",1954,96,6.4,228
"19644","Garou densetsu",1994,100,6.3,210
"19650","Garv: Pride and Honour",2004,162,4.4,25
"19692","Gatling Gun, The",1973,93,5.1,37
"19693","Gator",1976,115,5.4,325
"19705","Gau lung bing sat",2001,101,6.4,48
"19713","Gauntlet, The",1977,109,6,2201
"19763","Geheimnis der drei Dschunken, Das",1965,90,5.8,11
"19769","Gei ba ba de xin",1995,104,6.5,870
"19777","Gekisatsu! Judo ken",1977,94,5.1,20
"19778","Gekitotsu! Satsujin ken",1974,91,6.7,529
"19792","Gen 13",1998,87,5.5,79
"19793","Gendai yakuza: hito-kiri yota",1972,95,7.6,88
"19810","General, The",1927,83,8.4,6644
"19830","Genghis Khan",2004,120,7.9,15
"19831","Gengszterfilm",1999,110,5.4,18
"19841","Genroku chushingura",1941,241,7.5,162
