"","title","year","length","rating","votes","budget","budget class"
"8553","Capricorn One",1978,123,6.4,2591,5000000,"0-10"
"8558","Captain Blood",1935,99,7.7,1683,1200000,"0-10"
"8563","Captain Corelli's Mandolin",2001,131,5.9,5281,57000000,"50-60"
"8564","Captain EO",1986,17,5.7,551,17000000,"10-20"
"8578","Captain Kronos - Vampire Hunter",1974,91,6.3,442,400000,"0-10"
"8595","Captain from Castile",1947,140,6.7,169,4500000,"0-10"
"8599","Captains Courageous",1937,115,7.7,1123,1645000,"0-10"
"8620","Captured!",1933,69,6,36,245000,"0-10"
"8642","Carabiniers, Les",1963,80,6.9,330,140000,"0-10"
"8649","Carandiru",2003,147,7.7,1608,6000000,"0-10"
"8656","Caravans",1978,127,5.4,59,14000000,"10-20"
"8675","Carefree",1938,83,7.1,306,1253000,"0-10"
"8707","Carlos contra el mundo",2002,91,5.4,15,1000000,"0-10"
"8719","Carmen Jones",1954,108,7,534,750000,"0-10"
"8729","Carnage",1986,91,2.2,30,32500,"0-10"
"8759","Carnival of Souls",1962,84,7,1819,30000,"0-10"
"8760","Carnival of Souls",1998,90,2.8,462,2000000,"0-10"
"8765","Carnosaur",1993,83,3.1,583,1000000,"0-10"
"8782","Carpetbaggers, The",1964,150,6.1,341,3000000,"0-10"
"8783","Carpool",1996,89,4.5,829,17000000,"10-20"
"8788","Carrie",1976,98,7.2,11778,1800000,"0-10"
"8874","Casa dell'esorcismo, La",1973,95,5.5,277,1000000,"0-10"
"8882","Casablanca",1942,102,8.8,66030,950000,"0-10"
"8933","Casino",1995,176,7.8,27234,52000000,"50-60"
"8935","Casino Royale",1967,131,5.3,4173,12000000,"10-20"
"8944","Casper",1995,100,5.6,8798,55000000,"50-60"
"8953","Casshern",2004,141,6.5,1237,5000000,"0-10"
"8956","Cast Away",2000,143,7.3,34580,90000000,"90-100"
"8980","Casualties of War",1989,113,6.8,4459,22500000,"20-30"
"8999","Cat People",1942,73,7.4,1239,134000,"0-10"
"9000","Cat People",1982,118,5.8,2862,18000000,"10-20"
"9011","Cat in the Hat, The",2003,82,3.2,4997,109000000,"100-110"
"9012","Cat on a Hot Tin Roof",1958,108,7.8,4870,3000000,"0-10"
"9016","Cat's Eye",1985,94,5.7,2301,7000000,"0-10"
"9023","Cat's-Paw, The",1934,102,6.8,93,617000,"0-10"
"9032","Catch Me If You Can",1989,106,5.1,93,800000,"0-10"
"9033","Catch Me If You Can",2002,141,7.6,39915,52000000,"50-60"
"9035","Catch That Kid",2004,91,4.5,598,18000000,"10-20"
"9060","Cats & Dogs",2001,87,5.4,6487,60000000,"60-70"
"9063","Cats Don't Dance",1997,75,6.4,366,32000000,"30-40"
"9082","Catwoman",2004,104,3.4,8815,85000000,"80-90"
"9105","Causality",2004,9,9.7,10,15000,"0-10"
"9112","Cavalcade",1933,110,6.8,315,1180280,"0-10"
"9122","Cavalieri che fecero l'impresa, I",2001,147,5.7,123,8000000,"0-10"
"9146","Cecil B. DeMented",2000,87,6,3464,10000000,"10-20"
"9156","Celebrity",1998,113,6.1,4820,12000000,"10-20"
"9160","Cell, The",2000,109,6.1,16118,33000000,"30-40"
"9161","Cellar Doors",1989,40,7.1,23,7000,"0-10"
"9164","Cellar, The",2003,20,7.1,5,5000,"0-10"
"9168","Cellular",2004,94,6.4,6182,25000000,"20-30"
"9202","Centipede!",2004,90,3.6,35,500000,"0-10"
"9206","Central Airport",1933,72,5.3,44,356000,"0-10"
"9209","Central do Brasil",1998,108,7.9,8980,2900000,"0-10"
"9260","Chacun cherche son chat",1996,91,7,1105,300000,"0-10"
"9264","Chafed Elbows",1966,63,2.1,16,25000,"0-10"
"9273","Chain Reaction",1996,106,5.1,5936,55000000,"50-60"
"9279","Chain of Fools",2000,96,6.1,845,20000000,"20-30"
"9291","Chair, The",1989,100,3.8,40,3000000,"0-10"
"9292","Chairman of the Board",1998,95,2.6,666,10000000,"10-20"
"9297","Chalk",1996,134,8.6,14,400000,"0-10"
"9313","Chamber, The",1996,113,5.7,2540,50000000,"50-60"
"9331","Champagne Society",2003,20,4.5,25,5000,"0-10"
"9345","Chan Is Missing",1982,80,6.3,135,20000,"0-10"
"9347","Chance",2002,73,8,440,150000,"0-10"
"9352","Chandelier",2004,20,8.7,7,32000,"0-10"
"9357","Chandu the Magician",1932,71,5.7,74,349456,"0-10"
"9358","Chanel Solitaire",1981,107,4.9,52,7000000,"0-10"
"9364","Change of Climate, A",1999,19,4.6,14,15000,"0-10"
"9373","Changing Habits",1997,95,5.5,134,1200000,"0-10"
"9375","Changing Lanes",2002,99,6.6,12779,45000000,"40-50"
"9380","Channeling Alphonse",2003,12,7.6,12,0,"0-10"
"9402","Chapter Zero",1999,104,5.1,47,1500000,"0-10"
"9406","Charade",1963,113,8.1,9046,4000000,"0-10"
"9412","Charge of the Light Brigade, The",1936,115,7.2,547,1200000,"0-10"
"9413","Charge of the Light Brigade, The",1968,139,6.2,300,8000000,"0-10"
"9416","Chariots of Fire",1981,123,7.3,6666,5500000,"0-10"
"9433","Charlie",2004,94,5,141,5000000,"0-10"
"9441","Charlie Chan at Treasure Island",1939,72,7.4,206,120000,"0-10"
"9447","Charlie Chan in Black Magic",1944,67,6.2,167,75000,"0-10"
"9451","Charlie Chan in London",1934,79,7.1,229,100000,"0-10"
"9453","Charlie Chan in Paris",1935,72,7,199,110000,"0-10"
"9457","Charlie Chan in The Chinese Cat",1944,65,6.5,190,75000,"0-10"
"9458","Charlie Chan in the Secret Service",1944,63,6.6,180,75000,"0-10"
"9474","Charlie's Angels",2000,94,5.8,25705,92000000,"90-100"
"9475","Charlie's Angels: Full Throttle",2003,107,5,13990,120000000,"120-130"
"9483","Charlotte Sometimes",2002,85,4.6,555,80000,"0-10"
"9488","Charly",2002,103,5.5,149,950000,"0-10"
"9492","Charming Billy",1999,82,5.3,39,250000,"0-10"
"9505","Chase, The",2003,3,8.3,6,2000,"0-10"
"9512","Chasing Amy",1997,111,7.6,32141,250000,"0-10"
"9518","Chasing Jason",2004,7,7,9,2000,"0-10"
"9520","Chasing Liberty",2004,111,5.7,1911,23000000,"20-30"
"9528","Chasing the Edge",2004,15,9.2,10,0,"0-10"
"9560","Che!",1969,96,3.3,100,2800000,"0-10"
"9565","Cheaper by the Dozen",2003,98,5.8,5977,40000000,"40-50"
"9567","Cheat, The",1915,59,7.2,188,17311,"0-10"
"9592","Cheerleader",2003,24,8.8,8,5500,"0-10"
"9597","Cheerleaders, The",1973,84,5,177,153000,"0-10"
"9603","Cheetah",1989,83,5.9,115,5000000,"0-10"
"9643","Cherish",2002,99,6.5,743,1500000,"0-10"
"9652","Cherry Falls",2000,92,4.9,2165,14000000,"10-20"
"9654","Cherry Orchard, The",1999,141,6.4,127,5000000,"0-10"
"9655","Cherry, Harry & Raquel!",1970,71,4.6,189,90000,"0-10"
"9669","Cheyenne Autumn",1964,154,6.8,560,4200000,"0-10"
"9680","Chi sei?",1974,109,3.1,84,350000,"0-10"
"9694","Chicago",2002,113,7.5,34933,45000000,"40-50"
"9720","Chicken Run",2000,84,7.4,25099,42000000,"40-50"
"9747","Chiesa, La",1989,98,5.9,486,3500000,"0-10"
"9762","Child Psychology",2004,14,6.6,7,7000,"0-10"
"9771","Child's Play",1988,87,5.9,4250,19000000,"10-20"
"9772","Child's Play 2",1990,84,4.5,2327,13000000,"10-20"
"9776","Childhood's End",1997,115,4.4,38,600000,"0-10"
"9779","Children On Their Birthdays",2002,102,6,163,10000000,"10-20"
"9780","Children Shouldn't Play with Dead Things",1972,87,4.4,413,70000,"0-10"
"9792","Children of the Arcana",2003,22,7.1,8,11000,"0-10"
"9793","Children of the Corn",1984,93,4.9,3562,3000000,"0-10"
"9794","Children of the Corn II: The Final Sacrifice",1993,92,3.2,937,900000,"0-10"
"9802","Children's Hour, The",1961,107,7.3,1089,3600000,"0-10"
"9814","Chill Factor",1999,101,5,2542,34000000,"30-40"
"9838","China Lake",1983,34,7.5,21,3000,"0-10"
"9854","Chinatown",1974,131,8.4,25695,6000000,"0-10"
"9893","Chitty Chitty Bang Bang",1968,144,6.3,3200,10000000,"10-20"
"9914","Choirboys, The",1977,119,4.9,260,6500000,"0-10"
"9918","Choke",1999,98,5.6,68,550000,"0-10"
"9929","Choosing Matthias",2001,90,4.9,22,2500000,"0-10"
"9932","Chopin. Pragnienie milosci",2002,134,4,55,3500000,"0-10"
"9975","Christine",1983,110,6,5666,9700000,"0-10"
"10002","Christmas with the Kranks",2004,98,4.5,1520,60000000,"60-70"
"10006","Christopher Strong",1933,78,6.1,151,284000,"0-10"
"10014","Chronicles of Riddick, The",2004,135,6.2,11438,110000000,"110-120"
"10018","Chronotrip",2002,74,4,6,10000,"0-10"
"10021","Chu Chin Chow",1934,103,4.8,10,500000,"0-10"
"10031","Chuck&Buck",2000,96,6.6,1919,250000,"0-10"
"10043","Chumscrubber, The",2005,102,4.5,80,6800000,"0-10"
"10075","Ciao America",2002,100,4.8,27,5000000,"0-10"
"10091","Cidade de Deus",2002,135,8.7,25964,3300000,"0-10"
"10092","Cider House Rules, The",1999,126,7.5,18950,24000000,"20-30"
"10114","Cimarron",1931,131,6.2,319,1433000,"0-10"
"10125","Cinderella",1950,74,7.3,5596,2900000,"0-10"
"10131","Cinderella Story, A",2004,95,4.9,2755,20000000,"20-30"
"10132","Cinderfella",1960,91,5.4,405,3000000,"0-10"
"10135","Cinedictum",2002,40,7,5,100000,"0-10"
"10162","Circle of Iron",1978,102,5.2,376,4000000,"0-10"
"10183","Circus World",1964,135,5.7,215,9000000,"0-10"
"10188","Circus, The",1928,71,7.8,1239,900000,"0-10"
"10210","Citizen Kane",1941,119,8.7,61083,686033,"0-10"
"10212","Citizen Ruth",1996,102,6.8,1441,3000000,"0-10"
"10213","Citizen Shane",2004,59,5,10,4000,"0-10"
"10216","Citizen Verdict",2003,97,4.8,58,10000000,"10-20"
"10224","City Hall",1996,111,6.1,4381,40000000,"40-50"
"10228","City Lights",1931,87,8.5,7802,1500000,"0-10"
"10241","City by the Sea",2002,108,6.3,4886,60000000,"60-70"
"10244","City of Angels",1998,114,6.2,15333,55000000,"50-60"
"10248","City of Ghosts",2002,116,5.6,877,17500000,"10-20"
"10250","City of Hope",1991,129,7.3,645,3000000,"0-10"
"10251","City of Industry",1997,97,5.9,1262,8000000,"0-10"
"10259","City on Fire",1979,104,3.4,127,5300000,"0-10"
"10269","Civil Action, A",1998,112,6.4,6847,60000000,"60-70"
"10270","Civil Brand",2002,95,4.1,102,500000,"0-10"
"10279","Claire of the Moon",1992,107,4.1,208,130000,"0-10"
"10307","Clash of the Titans",1981,118,6.3,3860,15000000,"10-20"
"10317","Class of 1984",1982,98,5.5,662,4300000,"0-10"
"10318","Class of 1999",1990,99,4.5,549,5200000,"0-10"
"10320","Class of 83",2004,50,9.6,20,25000,"0-10"
"10336","Claudine's Return",1998,91,3.8,80,2000000,"0-10"
"10337","Claustrophobia",2003,79,4.2,90,114000,"0-10"
"10346","Clay Pigeons",1998,104,6.4,2658,8000000,"0-10"
"10353","Clean, Shaven",1994,79,6.8,370,60000,"0-10"
"10358","Clear and Present Danger",1994,141,6.8,13025,65000000,"60-70"
"10360","Clearing the Range",1931,61,4.5,6,60000,"0-10"
"10367","Cleopatra",1917,125,9.3,25,500000,"0-10"
"10369","Cleopatra",1963,320,6.6,2612,44000000,"40-50"
"10374","Clerks.",1994,92,7.9,39927,230000,"0-10"
"10380","Cliffhanger",1993,112,6,12434,65000000,"60-70"
"10383","Clifford's Really Big Movie",2004,73,5.9,70,70000,"0-10"
"10390","Climb, The",2002,98,5.2,83,2500000,"0-10"
"10407","Clock, The",1945,90,7.3,390,1324000,"0-10"
"10408","Clockers",1995,129,6.8,3099,25000000,"20-30"
"10409","Clockstoppers",2002,94,5.1,2555,26000000,"20-30"
"10414","Clockwork Orange, A",1971,137,8.3,65283,2200000,"0-10"
"10418","Clonus Horror, The",1979,90,2.1,469,350000,"0-10"
"10422","Close Encounters of the Third Kind",1977,137,7.7,26304,20000000,"20-30"
"10448","Clown Princes",1939,11,6.5,9,21243,"0-10"
"10450","Clown in Babylon, A",1999,105,7.8,5,150000,"0-10"
"10456","Club Dread",2004,119,5.2,3432,9000000,"0-10"
"10457","Club Fed",1990,93,3.2,54,360000,"0-10"
"10474","Clubland",1999,94,4,58,4000000,"0-10"
"10475","Clue",1985,97,6.7,8767,15000000,"10-20"
"10477","Clueless",1995,97,6.7,16521,20000000,"20-30"
"10484","Coach Carter",2005,136,6.6,1636,30000000,"30-40"
"10513","Cock-Eyed World, The",1929,118,5.9,11,661315,"0-10"
"10517","Cockettes, The",2002,100,6.6,177,300000,"0-10"
"10531","Cocoanuts, The",1929,96,6.8,834,500000,"0-10"
"10538","Code",2003,12,6.2,5,10000,"0-10"
"10539","Code 46",2003,92,6.4,2094,7500000,"0-10"
"10550","Codename: Simon",2004,10,9.2,22,50000,"0-10"
"10568","Cog",2004,5,9.6,9,4000,"0-10"
"10573","Coil",2001,79,7.8,12,12000,"0-10"
"10584","Cold Call",2001,14,7.7,17,20000,"0-10"
"10587","Cold Dog Soup",1990,100,4.6,136,7000000,"0-10"
"10595","Cold Heart",2001,95,4.1,140,3000000,"0-10"
"10596","Cold Hearts",1999,90,3.9,131,900000,"0-10"
"10602","Cold Mountain",2003,152,7.4,15712,83000000,"80-90"
"10625","Collateral",2004,120,7.7,24499,65000000,"60-70"
"10626","Collateral Damage",2002,108,5.2,8590,85000000,"80-90"
"10637","College Coach",1933,76,5.2,55,245000,"0-10"
"10662","Color Me Blood Red",1965,79,3.4,130,50000,"0-10"
"10664","Color Purple, The",1985,154,7.6,10599,15000000,"10-20"
"10667","Color of Money, The",1986,119,6.8,9095,10000000,"10-20"
"10668","Color of Night",1994,133,4.7,4646,40000000,"40-50"
"10695","Coltelli del vendicatore, I",1966,86,4.7,38,75000,"0-10"
"10713","Combat Shock",1986,92,5.6,237,40000,"0-10"
"10721","Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,109,6.9,607,850000,"0-10"
"10767","Comedians of Comedy, The",2005,103,8.8,8,500000,"0-10"
"10803","Coming to America",1988,116,6.6,13103,28000000,"20-30"
"10805","Command Decision",1948,112,7.5,262,3700000,"0-10"
"10808","Commandments",1997,88,5.4,468,5000000,"0-10"
"10840","Committed",2000,98,5.2,739,3000000,"0-10"
"10871","Company Jasmine",2001,55,8.4,47,150000,"0-10"
"10873","Company Man",2000,86,4.8,492,16000000,"10-20"
"10875","Company of Wolves, The",1984,95,6.4,1846,2000000,"0-10"
"10876","Company, The",2003,112,6.2,1505,15000000,"10-20"
"10908","Comunidad, La",2000,110,7.2,1270,2000000,"0-10"
"10909","Con Air",1997,115,6.3,26642,75000000,"70-80"
"10914","Conan the Barbarian",1982,129,6.5,13624,20000000,"20-30"
"10930","Condemned",1929,86,5.7,38,600000,"0-10"
"10953","Confession, The",1998,20,6.9,18,15000,"0-10"
"10954","Confession, The",1999,114,5.8,519,4000000,"0-10"
"10966","Confessions of a Dangerous Mind",2002,113,7.1,11487,29000000,"20-30"
"10970","Confessions of a Nazi Spy",1939,104,6.6,126,1500000,"0-10"
"10976","Confessions of a Teenage Drama Queen",2004,89,4.4,2205,15000000,"10-20"
"10984","Confidence",2003,97,6.8,6168,15000000,"10-20"
"10999","Conformista, Il",1970,115,7.7,1348,750000,"0-10"
"11005","Congo",1995,109,4.4,8058,50000000,"50-60"
"11011","Connecting Dots",2003,95,7.7,6,500000,"0-10"
"11013","Connection, The",1962,110,7.3,34,167000,"0-10"
"11018","Conqueror, The",1956,111,3.3,364,6000000,"0-10"
"11020","Conquest",1937,113,6.7,163,2732000,"0-10"
"11026","Conquest of the Planet of the Apes",1972,88,5.5,2255,1700000,"0-10"
"11047","Conspiracy Theory",1997,135,6.4,15470,75000000,"70-80"
"11057","Constantine",2005,121,6.4,11633,100000000,"100-110"
"11063","Contact",1997,153,7.3,36390,90000000,"90-100"
"11073","Contender, The",2000,126,6.9,7023,9000000,"0-10"
"11091","Control de plagas",2004,14,8.1,10,5000,"0-10"
"11096","Convention City",1933,69,4.7,5,239000,"0-10"
"11105","Conversation, The",1974,113,8.1,10260,1600000,"0-10"
"11137","Cool Hot Rod, The",1953,26,3.9,5,1000,"0-10"
"11146","Cool as Ice",1991,100,2.4,1280,6000000,"0-10"
"11158","Cop Land",1997,116,6.7,12677,15000000,"10-20"
"11187","Copycat",1995,123,6.5,7804,20000000,"20-30"
"11188","Coquette",1929,76,4.9,90,489106,"0-10"
"11194","Coral Reef Adventure",2003,45,6.2,65,10000000,"10-20"
"11202","Core, The",2003,135,5.4,7860,74000000,"70-80"
"11208","Corky Romano",2001,86,4.6,2463,11000000,"10-20"
"11218","Corner of Your Eye",2003,96,5.2,8,100000,"0-10"
"11229","Coronado",2003,88,4.5,411,4700000,"0-10"
"11230","Coronel no tiene quien le escriba, El",1999,122,6.9,265,3000000,"0-10"
"11248","Corpse Grinders, The",1972,62,2.6,153,47000,"0-10"
"11306","Cotton Club, The",1984,127,6.2,2663,47000000,"40-50"
"11307","Cotton Comes to Harlem",1970,97,6.2,204,1200000,"0-10"
"11308","Cotton Mary",1999,124,5.3,164,3500000,"0-10"
"11316","Could This Be Love?",1973,29,3.6,8,5000,"0-10"
"11328","Count of Monte Cristo, The",2002,134,7.4,13907,35000000,"30-40"
"11342","Countess from Hong Kong, A",1967,120,5.4,449,3500000,"0-10"
"11347","Country Bears, The",2002,88,3.7,664,35000000,"30-40"
"11360","Country of My Skull",2004,104,5.1,194,12000000,"10-20"
"11382","Courage Under Fire",1996,117,6.7,8884,46000000,"40-50"
"11422","Cover Up",1991,87,3.3,193,7500000,"0-10"
"11425","Covered Wagon, The",1923,98,7.9,49,782000,"0-10"
"11443","Cowboy and the Lady, The",1938,91,6.3,110,1500000,"0-10"
"11447","Cowboys & Angels",2003,89,7.5,206,2000000,"0-10"
"11450","Cowboys, The",1972,128,6.9,1316,6000000,"0-10"
"11459","Coyote Ugly",2000,100,5.4,13221,45000000,"40-50"
"11461","Crab Boy",1996,11,2.1,5,17000,"0-10"
"11469","Crack in the World",1965,96,5.8,244,600000,"0-10"
"11490","Cradle 2 the Grave",2003,101,5.3,4164,25000000,"20-30"
"11491","Cradle Will Rock",1999,132,6.7,3375,32000000,"30-40"
"11492","Craft, The",1996,101,5.9,9187,15000000,"10-20"
"11494","Craig's Wife",1936,73,7.8,54,300000,"0-10"
"11497","Crank Calls",2002,10,6.8,22,40000,"0-10"
"11499","Crash",2004,113,8.3,1660,6500000,"0-10"
"11516","Crawling Hand, The",1963,89,2.6,248,100000,"0-10"
"11523","Crazies, The",1973,103,5.7,669,275000,"0-10"
"11536","Crazy Love",2004,7,9.2,17,2000,"0-10"
"11550","Crazy in Alabama",1999,111,6.1,2086,15000000,"10-20"
"11552","Crazy-Quilt, The",1966,75,4.2,16,250000,"0-10"
"11553","Crazy/Beautiful",2001,135,6.5,4503,14000000,"10-20"
"11563","Creature",1985,97,3.8,293,4000000,"0-10"
"11577","Creepees vs. Robot Monster Number Two, The",2004,15,1.2,5,0,"0-10"
"11581","Creepozoids",1987,72,2.6,152,75000,"0-10"
"11584","Creepshow",1982,120,6,3687,8000000,"0-10"
"11585","Creepshow 2",1987,92,4.9,1524,3500000,"0-10"
"11586","Creepy Tales: Girls Night Out",2003,115,1.8,11,30000,"0-10"
"11588","Cremaster 2",1999,79,6.5,152,1700000,"0-10"
"11595","Crew, The",2000,84,5.3,1297,23000000,"20-30"
"11605","Crier, The",1995,78,3.3,12,250000,"0-10"
"11614","Crime Partners 2000",2001,102,4.4,57,250000,"0-10"
"11617","Crime Spree",2003,98,6.3,953,10000000,"10-20"
"11639","Crimen del padre Amaro, El",2002,118,7,2469,1800000,"0-10"
"11641","Crimes and Misdemeanors",1989,104,7.9,7302,19000000,"10-20"
"11644","Crimes of the Future",1970,70,4.7,94,20000,"0-10"
"11657","Criminal, The",1960,97,6.7,70,200000,"0-10"
"11668","Crimson Pirate, The",1952,105,7.2,831,1850000,"0-10"
"11670","Crimson Tide",1995,116,7.1,14033,53000000,"50-60"
"11679","Crisis",1950,95,6.2,195,1616455,"0-10"
"11688","Critical Care",1997,107,5.8,397,12000000,"10-20"
"11692","Critters",1986,82,5.3,2219,2000000,"0-10"
"11693","Critters 2: The Main Course",1988,93,4.2,1074,4500000,"0-10"
"11705","Crocodile Dundee in Los Angeles",2001,92,4.7,2698,25000000,"20-30"
"11706","Crocodile Hunter: Collision Course, The",2002,90,5.3,1648,13000000,"10-20"
"11723","Crooklyn",1994,115,6.2,1112,14000000,"10-20"
"11728","Crop Circles: Quest for Truth",2002,115,7.2,66,750000,"0-10"
"11729","Crop, The",2004,103,6.6,15,40000,"0-10"
"11736","Cross Country",1983,95,4.6,30,2500000,"0-10"
"11743","Cross of Iron",1977,119,7.3,2587,6000000,"0-10"
"11749","Crossfire",1947,86,7.6,593,250000,"0-10"
"11761","Crossplot",1969,96,4.1,49,1000000,"0-10"
"11765","Crossroads",2002,93,3.1,8546,12000000,"10-20"
"11774","Crow, The",1994,98,7.2,20290,15000000,"10-20"
"11775","Crow: City of Angels, The",1996,84,3.8,3656,13000000,"10-20"
"11776","Crow: Salvation, The",2000,102,4.9,1383,25000000,"20-30"
"11787","Cruel Intentions",1999,97,6.5,25634,11000000,"10-20"
"11808","Crutch",2004,88,6.2,12,500000,"0-10"
"11837","Cry of the Banshee",1970,87,4.6,180,500000,"0-10"
"11843","Cry-Baby",1990,85,6,4136,11000000,"10-20"
"11903","Cujo",1983,93,5.4,2922,5000000,"0-10"
"11912","Cultivision (Collapsing Stars)",2002,88,8.4,5,1000,"0-10"
"11930","Cupid's Mistake",2001,70,8.1,11,0,"0-10"
"11934","Curdled",1996,88,5.5,959,2309723,"0-10"
"11946","Curiosity & the Cat",1999,80,4.1,46,45000,"0-10"
"11951","Curly Sue",1991,101,4.7,2097,30000000,"30-40"
"11957","Curse of El Charro, The",2004,90,6,29,200000,"0-10"
"11958","Curse of Frankenstein, The",1957,83,6.8,648,500000,"0-10"
"11972","Curse of the Jade Scorpion, The",2001,103,6.8,5846,26000000,"20-30"
"11973","Curse of the Living Corpse, The",1964,84,3.9,40,120000,"0-10"
"11976","Curse of the Puppet Master",1998,77,2.7,267,250000,"0-10"
"11977","Curse of the Queerwolf",1988,90,3.5,55,10000,"0-10"
"11982","Cursed",2005,97,4.7,1277,35000000,"30-40"
"11991","Curucu, Beast of the Amazon",1956,76,5.6,27,155000,"0-10"
"11992","Cusp",2000,25,7.3,12,60000,"0-10"
"11994","Custodial Code, The",2003,15,9.7,7,12000,"0-10"
"12003","Cutaway",2000,104,5.1,390,9000000,"0-10"
"12006","Cutthroat Island",1995,119,5.1,3942,92000000,"90-100"
"12027","Cyborg",1989,86,3.8,2320,2000000,"0-10"
"12047","Cypher",2002,95,7.2,3160,7500000,"0-10"
"12067","D-Tox",2002,92,4.7,2742,55000000,"50-60"
"12072","D.E.B.S.",2004,91,6,300,3500000,"0-10"
"12076","D.I.Y. or Die: How to Survive as an Independent Artist",2002,55,9.4,10,5000,"0-10"
"12123","Daddy Cool",2002,85,5.7,17,150000,"0-10"
"12124","Daddy Day Care",2003,92,5.7,3803,60000000,"60-70"
"12130","Daddy and Them",2001,101,5,364,4000000,"0-10"
"12132","Daddy's Boys",1988,90,2.7,6,300000,"0-10"
"12139","Daddy-O",1958,74,2.5,158,100000,"0-10"
"12167","Dagon",2001,97,6,1549,4800000,"0-10"
"12186","Daisy Miller",1974,91,5.5,172,2000000,"0-10"
"12221","Dalton, Les",2004,86,2.7,89,27000000,"20-30"
"12235","Damaged Lives",1933,61,4.2,14,10000,"0-10"
"12259","Damned, The",1963,96,7,130,500000,"0-10"
"12260","Damned, The",2001,90,2.2,22,30000,"0-10"
"12262","Damsel in Distress, A",1937,98,6.9,181,1035000,"0-10"
"12271","Dance Lexie Dance",1996,14,4,15,75000,"0-10"
"12296","Dances with Wolves",1990,236,7.8,28561,19000000,"10-20"
"12303","Dancing Lady",1933,92,6.4,170,923055,"0-10"
"12313","Dancing in September",2000,102,6.4,166,850000,"0-10"
"12368","Dangerous Liaisons",1988,119,7.6,12559,14000000,"10-20"
"12369","Dangerous Lives of Altar Boys, The",2002,105,7.2,3274,12000000,"10-20"
"12373","Dangerous Money",1946,66,6.2,88,75000,"0-10"
"12384","Dangerous Stranger, The",1950,10,3.6,14,1000,"0-10"
"12424","Dansk sexualitet",1969,75,2.4,6,15000,"0-10"
"12428","Dante's Inferno",1935,88,6.6,80,748900,"0-10"
"12429","Dante's Peak",1997,104,5.6,9203,104000000,"100-110"
"12440","Darcy's Off-White Wedding",2005,10,9.4,5,7000,"0-10"
"12443","Daredevil",2003,133,5.7,20642,75000000,"70-80"
"12447","Daredevils of the Red Circle",1939,211,7.8,48,126118,"0-10"
"12455","Dark Agent and the Passing of the Torch Chapter 7, The",2004,13,9.2,11,10000,"0-10"
"12456","Dark Alibi",1946,61,7,83,75000,"0-10"
"12462","Dark Blue",2002,118,6.6,3882,15000000,"10-20"
"12467","Dark City",1998,100,7.6,23508,27000000,"20-30"
"12468","Dark Command",1940,94,6.4,301,1000000,"0-10"
"12471","Dark Crystal, The",1982,93,6.9,6531,15000000,"10-20"
"12479","Dark Half, The",1993,122,5.5,1757,15000000,"10-20"
"12482","Dark Heaven",2002,87,2.4,47,80000,"0-10"
"12493","Dark Manhattan",1937,70,5.1,11,24900,"0-10"
"12514","Dark Star",1974,83,6.6,3527,60000,"0-10"
"12539","Darklands",1996,90,4,103,750000,"0-10"
"12541","Darkman",1990,96,6.1,6130,16000000,"10-20"
"12544","Darkness Falls",2003,86,4.5,4928,11000000,"10-20"
"12545","Darkness Minus Twelve",2004,12,8.9,8,4400,"0-10"
"12553","Darling Lili",1970,107,5.9,287,25000000,"20-30"
"12584","Date, The",2004,12,9.2,11,3000,"0-10"
"12600","Daughter of the Sun",1962,60,1.2,9,11000,"0-10"
"12603","Daughters of Satan",1972,90,3.2,77,275000,"0-10"
"12609","David & Dee",2004,18,8.6,17,50000,"0-10"
"12616","David Nelson Live",2000,42,9.7,6,0,"0-10"
"12618","David Searching",1997,101,7.3,34,22500,"0-10"
"12637","Dawn of the Dead",1978,139,7.7,12621,1500000,"0-10"
"12638","Dawn of the Dead",2004,109,7.4,16283,28000000,"20-30"
"12639","Dawn of the Friend",2004,22,6.2,11,10000,"0-10"
"12647","Day After Tomorrow, The",2004,124,6.3,23749,125000000,"120-130"
"12659","Day Without a Mexican, A",2004,100,5,561,1500000,"0-10"
"12669","Day of Defense",2003,102,3,8,500000,"0-10"
"12671","Day of Independence",2003,27,2.8,11,200000,"0-10"
"12675","Day of the Animals",1977,97,4.2,158,1200000,"0-10"
"12679","Day of the Dead",1985,97,6.5,5053,3500000,"0-10"
"12680","Day of the Dolphin, The",1973,104,5.6,397,8500000,"0-10"
"12682","Day of the Fight",1951,16,6.1,272,3900,"0-10"
"12694","Day the Earth Stood Still, The",1951,85,8.1,10148,960000,"0-10"
"12700","Day the World Ended",1956,79,4.7,241,96000,"0-10"
"12713","Dayereh",2000,90,7.1,755,10000,"0-10"
"12715","Daylight",1996,110,5.4,6979,80000000,"80-90"
"12722","Days of Thunder",1990,107,5.4,9660,60000000,"60-70"
"12752","Dead & Buried",1981,94,6.1,614,3000000,"0-10"
"12755","Dead Babies",2000,100,4.3,172,1000000,"0-10"
"12775","Dead End",1937,93,7.5,750,900000,"0-10"
"12778","Dead End Road",2004,94,5.8,5,100000,"0-10"
"12783","Dead Hate the Living!, The",2000,90,4.3,496,150000,"0-10"
"12785","Dead Heat",1988,86,4.8,470,5000000,"0-10"
"12787","Dead Heat on a Merry-Go-Round",1966,104,6,167,2000000,"0-10"
