"","title","year","length","rating","votes","budget","genre"
"9402","Chapter Zero",1999,104,5.1,47,1500000,"comedy"
"9413","Charge of the Light Brigade, The",1968,139,6.2,300,8000000,"drama"
"9416","Chariots of Fire",1981,123,7.3,6666,5500000,"drama"
"9433","Charlie",2004,94,5,141,5000000,"drama"
"9457","Charlie Chan in The Chinese Cat",1944,65,6.5,190,75000,"drama"
"9483","Charlotte Sometimes",2002,85,4.6,555,80000,"drama"
"9518","Chasing Jason",2004,7,7,9,2000,"comedy"
"9528","Chasing the Edge",2004,15,9.2,10,0,"documentary"
"9560","Che!",1969,96,3.3,100,2800000,"drama"
"9567","Cheat, The",1915,59,7.2,188,17311,"drama"
"9592","Cheerleader",2003,24,8.8,8,5500,"documentary"
"9597","Cheerleaders, The",1973,84,5,177,153000,"comedy"
"9652","Cherry Falls",2000,92,4.9,2165,14000000,"comedy"
"9654","Cherry Orchard, The",1999,141,6.4,127,5000000,"drama"
"9655","Cherry, Harry & Raquel!",1970,71,4.6,189,90000,"drama"
"9747","Chiesa, La",1989,98,5.9,486,3500000,"drama"
"9762","Child Psychology",2004,14,6.6,7,7000,"comedy"
"9772","Child's Play 2",1990,84,4.5,2327,13000000,"comedy"
"9779","Children On Their Birthdays",2002,102,6,163,10000000,"drama"
"9802","Children's Hour, The",1961,107,7.3,1089,3600000,"drama"
"9854","Chinatown",1974,131,8.4,25695,6000000,"drama"
"9893","Chitty Chitty Bang Bang",1968,144,6.3,3200,10000000,"comedy"
"9914","Choirboys, The",1977,119,4.9,260,6500000,"drama"
"9918","Choke",1999,98,5.6,68,550000,"documentary"
"9929","Choosing Matthias",2001,90,4.9,22,2500000,"drama"
"9975","Christine",1983,110,6,5666,9700000,"drama"
"10002","Christmas with the Kranks",2004,98,4.5,1520,60000000,"comedy"
"10006","Christopher Strong",1933,78,6.1,151,284000,"drama"
"10014","Chronicles of Riddick, The",2004,135,6.2,11438,110000000,"action"
"10018","Chronotrip",2002,74,4,6,10000,"documentary"
"10043","Chumscrubber, The",2005,102,4.5,80,6800000,"drama"
"10091","Cidade de Deus",2002,135,8.7,25964,3300000,"drama"
"10114","Cimarron",1931,131,6.2,319,1433000,"drama"
"10125","Cinderella",1950,74,7.3,5596,2900000,"animation"
"10132","Cinderfella",1960,91,5.4,405,3000000,"comedy"
"10162","Circle of Iron",1978,102,5.2,376,4000000,"action"
"10183","Circus World",1964,135,5.7,215,9000000,"drama"
"10210","Citizen Kane",1941,119,8.7,61083,686033,"drama"
"10213","Citizen Shane",2004,59,5,10,4000,"documentary"
"10224","City Hall",1996,111,6.1,4381,40000000,"drama"
"10241","City by the Sea",2002,108,6.3,4886,60000000,"drama"
"10250","City of Hope",1991,129,7.3,645,3000000,"drama"
"10259","City on Fire",1979,104,3.4,127,5300000,"action"
"10269","Civil Action, A",1998,112,6.4,6847,60000000,"drama"
"10270","Civil Brand",2002,95,4.1,102,500000,"drama"
"10318","Class of 1999",1990,99,4.5,549,5200000,"action"
"10320","Class of 83",2004,50,9.6,20,25000,"documentary"
"10337","Claustrophobia",2003,79,4.2,90,114000,"comedy"
"10353","Clean, Shaven",1994,79,6.8,370,60000,"drama"
"10367","Cleopatra",1917,125,9.3,25,500000,"drama"
"10380","Cliffhanger",1993,112,6,12434,65000000,"action"
"10383","Clifford's Really Big Movie",2004,73,5.9,70,70000,"animation"
"10408","Clockers",1995,129,6.8,3099,25000000,"drama"
"10414","Clockwork Orange, A",1971,137,8.3,65283,2200000,"drama"
"10422","Close Encounters of the Third Kind",1977,137,7.7,26304,20000000,"drama"
"10448","Clown Princes",1939,11,6.5,9,21243,"comedy"
"10450","Clown in Babylon, A",1999,105,7.8,5,150000,"drama"
"10456","Club Dread",2004,119,5.2,3432,9000000,"comedy"
"10457","Club Fed",1990,93,3.2,54,360000,"comedy"
"10475","Clue",1985,97,6.7,8767,15000000,"comedy"
"10484","Coach Carter",2005,136,6.6,1636,30000000,"drama"
"10513","Cock-Eyed World, The",1929,118,5.9,11,661315,"comedy"
"10517","Cockettes, The",2002,100,6.6,177,300000,"documentary"
"10531","Cocoanuts, The",1929,96,6.8,834,500000,"comedy"
"10568","Cog",2004,5,9.6,9,4000,"drama"
"10573","Coil",2001,79,7.8,12,12000,"drama"
"10587","Cold Dog Soup",1990,100,4.6,136,7000000,"comedy"
"10625","Collateral",2004,120,7.7,24499,65000000,"drama"
"10626","Collateral Damage",2002,108,5.2,8590,85000000,"action"
"10637","College Coach",1933,76,5.2,55,245000,"drama"
"10664","Color Purple, The",1985,154,7.6,10599,15000000,"drama"
"10667","Color of Money, The",1986,119,6.8,9095,10000000,"drama"
"10713","Combat Shock",1986,92,5.6,237,40000,"drama"
"10721","Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,109,6.9,607,850000,"drama"
"10805","Command Decision",1948,112,7.5,262,3700000,"drama"
"10871","Company Jasmine",2001,55,8.4,47,150000,"documentary"
"10873","Company Man",2000,86,4.8,492,16000000,"comedy"
"10876","Company, The",2003,112,6.2,1505,15000000,"drama"
"10908","Comunidad, La",2000,110,7.2,1270,2000000,"comedy"
"10909","Con Air",1997,115,6.3,26642,75000000,"action"
"10914","Conan the Barbarian",1982,129,6.5,13624,20000000,"action"
"10930","Condemned",1929,86,5.7,38,600000,"drama"
"10953","Confession, The",1998,20,6.9,18,15000,"comedy"
"10954","Confession, The",1999,114,5.8,519,4000000,"drama"
"10966","Confessions of a Dangerous Mind",2002,113,7.1,11487,29000000,"drama"
"10970","Confessions of a Nazi Spy",1939,104,6.6,126,1500000,"drama"
"10976","Confessions of a Teenage Drama Queen",2004,89,4.4,2205,15000000,"comedy"
"10984","Confidence",2003,97,6.8,6168,15000000,"drama"
"10999","Conformista, Il",1970,115,7.7,1348,750000,"drama"
"11005","Congo",1995,109,4.4,8058,50000000,"action"
"11013","Connection, The",1962,110,7.3,34,167000,"drama"
"11018","Conqueror, The",1956,111,3.3,364,6000000,"action"
"11026","Conquest of the Planet of the Apes",1972,88,5.5,2255,1700000,"action"
"11063","Contact",1997,153,7.3,36390,90000000,"drama"
"11073","Contender, The",2000,126,6.9,7023,9000000,"drama"
"11091","Control de plagas",2004,14,8.1,10,5000,"comedy"
"11096","Convention City",1933,69,4.7,5,239000,"comedy"
"11105","Conversation, The",1974,113,8.1,10260,1600000,"drama"
"11137","Cool Hot Rod, The",1953,26,3.9,5,1000,"drama"
"11158","Cop Land",1997,116,6.7,12677,15000000,"drama"
"11187","Copycat",1995,123,6.5,7804,20000000,"drama"
"11188","Coquette",1929,76,4.9,90,489106,"drama"
"11194","Coral Reef Adventure",2003,45,6.2,65,10000000,"documentary"
"11208","Corky Romano",2001,86,4.6,2463,11000000,"comedy"
"11230","Coronel no tiene quien le escriba, El",1999,122,6.9,265,3000000,"drama"
"11248","Corpse Grinders, The",1972,62,2.6,153,47000,"comedy"
"11306","Cotton Club, The",1984,127,6.2,2663,47000000,"drama"
"11308","Cotton Mary",1999,124,5.3,164,3500000,"drama"
"11342","Countess from Hong Kong, A",1967,120,5.4,449,3500000,"comedy"
"11347","Country Bears, The",2002,88,3.7,664,35000000,"comedy"
"11360","Country of My Skull",2004,104,5.1,194,12000000,"drama"
"11422","Cover Up",1991,87,3.3,193,7500000,"action"
"11425","Covered Wagon, The",1923,98,7.9,49,782000,"romance"
"11490","Cradle 2 the Grave",2003,101,5.3,4164,25000000,"action"
"11491","Cradle Will Rock",1999,132,6.7,3375,32000000,"drama"
"11494","Craig's Wife",1936,73,7.8,54,300000,"drama"
"11497","Crank Calls",2002,10,6.8,22,40000,"comedy"
"11499","Crash",2004,113,8.3,1660,6500000,"drama"
"11536","Crazy Love",2004,7,9.2,17,2000,"comedy"
"11552","Crazy-Quilt, The",1966,75,4.2,16,250000,"drama"
"11584","Creepshow",1982,120,6,3687,8000000,"comedy"
"11585","Creepshow 2",1987,92,4.9,1524,3500000,"comedy"
"11588","Cremaster 2",1999,79,6.5,152,1700000,"drama"
"11595","Crew, The",2000,84,5.3,1297,23000000,"comedy"
"11617","Crime Spree",2003,98,6.3,953,10000000,"comedy"
"11644","Crimes of the Future",1970,70,4.7,94,20000,"comedy"
"11679","Crisis",1950,95,6.2,195,1616455,"drama"
"11692","Critters",1986,82,5.3,2219,2000000,"comedy"
"11693","Critters 2: The Main Course",1988,93,4.2,1074,4500000,"comedy"
"11706","Crocodile Hunter: Collision Course, The",2002,90,5.3,1648,13000000,"comedy"
"11728","Crop Circles: Quest for Truth",2002,115,7.2,66,750000,"documentary"
"11729","Crop, The",2004,103,6.6,15,40000,"comedy"
"11749","Crossfire",1947,86,7.6,593,250000,"drama"
"11774","Crow, The",1994,98,7.2,20290,15000000,"action"
"11775","Crow: City of Angels, The",1996,84,3.8,3656,13000000,"action"
"11808","Crutch",2004,88,6.2,12,500000,"drama"
"11912","Cultivision (Collapsing Stars)",2002,88,8.4,5,1000,"comedy"
"11934","Curdled",1996,88,5.5,959,2309723,"comedy"
"11958","Curse of Frankenstein, The",1957,83,6.8,648,500000,"drama"
"11977","Curse of the Queerwolf",1988,90,3.5,55,10000,"comedy"
"11994","Custodial Code, The",2003,15,9.7,7,12000,"comedy"
"12003","Cutaway",2000,104,5.1,390,9000000,"action"
"12027","Cyborg",1989,86,3.8,2320,2000000,"action"
"12047","Cypher",2002,95,7.2,3160,7500000,"action"
"12067","D-Tox",2002,92,4.7,2742,55000000,"drama"
"12076","D.I.Y. or Die: How to Survive as an Independent Artist",2002,55,9.4,10,5000,"documentary"
"12124","Daddy Day Care",2003,92,5.7,3803,60000000,"comedy"
"12132","Daddy's Boys",1988,90,2.7,6,300000,"comedy"
"12139","Daddy-O",1958,74,2.5,158,100000,"drama"
"12186","Daisy Miller",1974,91,5.5,172,2000000,"drama"
"12221","Dalton, Les",2004,86,2.7,89,27000000,"comedy"
"12235","Damaged Lives",1933,61,4.2,14,10000,"drama"
"12259","Damned, The",1963,96,7,130,500000,"drama"
"12296","Dances with Wolves",1990,236,7.8,28561,19000000,"drama"
"12313","Dancing in September",2000,102,6.4,166,850000,"drama"
"12369","Dangerous Lives of Altar Boys, The",2002,105,7.2,3274,12000000,"drama"
"12373","Dangerous Money",1946,66,6.2,88,75000,"drama"
"12384","Dangerous Stranger, The",1950,10,3.6,14,1000,"drama"
"12424","Dansk sexualitet",1969,75,2.4,6,15000,"documentary"
"12428","Dante's Inferno",1935,88,6.6,80,748900,"drama"
"12440","Darcy's Off-White Wedding",2005,10,9.4,5,7000,"comedy"
"12443","Daredevil",2003,133,5.7,20642,75000000,"action"
"12447","Daredevils of the Red Circle",1939,211,7.8,48,126118,"action"
"12456","Dark Alibi",1946,61,7,83,75000,"drama"
"12468","Dark Command",1940,94,6.4,301,1000000,"romance"
"12493","Dark Manhattan",1937,70,5.1,11,24900,"drama"
"12514","Dark Star",1974,83,6.6,3527,60000,"comedy"
"12539","Darklands",1996,90,4,103,750000,"drama"
"12541","Darkman",1990,96,6.1,6130,16000000,"action"
"12545","Darkness Minus Twelve",2004,12,8.9,8,4400,"action"
"12600","Daughter of the Sun",1962,60,1.2,9,11000,"comedy"
"12616","David Nelson Live",2000,42,9.7,6,0,"comedy"
"12618","David Searching",1997,101,7.3,34,22500,"drama"
"12639","Dawn of the Friend",2004,22,6.2,11,10000,"comedy"
"12669","Day of Defense",2003,102,3,8,500000,"drama"
"12679","Day of the Dead",1985,97,6.5,5053,3500000,"drama"
"12680","Day of the Dolphin, The",1973,104,5.6,397,8500000,"drama"
"12682","Day of the Fight",1951,16,6.1,272,3900,"documentary"
"12694","Day the Earth Stood Still, The",1951,85,8.1,10148,960000,"drama"
"12713","Dayereh",2000,90,7.1,755,10000,"drama"
"12755","Dead Babies",2000,100,4.3,172,1000000,"comedy"
"12775","Dead End",1937,93,7.5,750,900000,"drama"
"12778","Dead End Road",2004,94,5.8,5,100000,"action"
"12783","Dead Hate the Living!, The",2000,90,4.3,496,150000,"comedy"
"12795","Dead Man Walking",1995,122,7.6,16177,11000000,"drama"
"12796","Dead Man on Campus",1998,96,5.4,2829,14000000,"comedy"
"12817","Dead Poets Society",1989,128,7.7,43294,16400000,"drama"
"12821","Dead Ringer",1964,115,6.8,430,1200000,"drama"
"12828","Dead Soul: A Fairy Tale",2001,30,5,6,8000,"drama"
"12834","Dead Zone, The",1983,103,7.2,6338,10000000,"drama"
"12894","Deadly Harvest",1977,87,5,35,250000,"drama"
"12969","Death Becomes Her",1992,99,5.6,9887,55000000,"comedy"
"12970","Death Bed: The Bed That Eats",1977,80,6.1,55,30000,"comedy"
"13000","Death Race 2000",1975,79,5.8,2909,300000,"action"
"13024","Death and the Compass",1992,96,6,115,3500000,"drama"
"13036","Death of Daniel Whately, The",2004,111,6.6,5,5000,"drama"
"13051","Death to Smoochy",2002,109,6.3,8003,55000000,"comedy"
"13053","Death, Can I Buy You a Drink?",2004,22,8.9,15,50000,"drama"
"13062","Deathrow Gameshow",1987,83,3.8,57,200000,"comedy"
"13077","Debtors, The",1999,90,6.9,38,14000000,"comedy"
"13109","Decline of Western Civilization Part II: The Metal Years, The",1988,93,6.6,297,500000,"documentary"
"13111","Decline of Western Civilization, The",1981,100,7.3,296,100000,"documentary"
"13114","Deconstructing Harry",1997,96,7.1,7342,20000000,"comedy"
"13117","Decoys",2004,95,4.2,580,5000000,"comedy"
"13124","Deep Blue",2003,91,7.2,363,5000000,"documentary"
"13125","Deep Blue Sea",1999,105,5.5,17666,78000000,"action"
"13135","Deep End of the Ocean, The",1999,106,5.9,2890,40000000,"drama"
"13136","Deep End, The",2001,101,6.8,3524,3000000,"drama"
"13138","Deep Impact",1998,120,5.9,22684,75000000,"drama"
"13142","Deep Rising",1998,97,5.4,4626,45000000,"action"
"13155","Deer Hunter, The",1978,183,8.1,28210,15000000,"drama"
"13162","Defender, The",2004,90,6.3,58,6000000,"action"
"13172","Defilers, The",1965,69,4.8,49,11000,"drama"
"13197","Delicate Delinquent, The",1957,101,5.9,161,460000,"comedy"
"13204","Delinquents, The",1957,72,4.8,33,65000,"drama"
"13221","Deliverance",1972,109,7.8,14417,2000000,"drama"
"13259","Demetrius and the Gladiators",1954,101,6.3,374,4500000,"drama"
"13272","Demolitionist, The",1995,100,4.1,238,1000000,"action"
"13342","Derailed",2002,89,3.4,1075,18000000,"action"
"13368","Derniers feux",2004,8,9.7,6,50000,"drama"
"13371","Dersu Uzala",1975,141,8.1,2565,4000000,"drama"
"13464","Desperado",1995,106,6.8,17929,7000000,"action"
"13477","Desperate Characters",1971,87,5.6,42,400000,"drama"
"13479","Desperate Hours, The",1955,112,7.4,1082,2388000,"drama"
"13481","Desperate Living",1977,90,7.1,598,65000,"comedy"
"13510","Destino",2003,7,7.8,156,1500000,"animation"
"13532","Detail, The",1997,87,3.3,12,200000,"action"
"13536","Detective Fiction",2003,102,4.9,41,200000,"drama"
"13548","Deterrence",1999,101,6.6,796,800000,"drama"
"13555","Detour",1945,67,7.3,1114,30000,"drama"
"13560","Detroit Rock City",1999,95,6,4607,15000000,"comedy"
"13563","Deuce Bigalow: Male Gigolo",1999,88,5.6,9897,18000000,"comedy"
"13645","Devil's Advocate, The",1997,144,7,26904,57000000,"drama"
"13670","Devil's Pond",2003,92,5.6,370,5000000,"drama"
"13728","Diabolik",1968,99,4.7,637,400000,"action"
"13762","Diamonds Are Forever",1971,120,6.6,8738,7200000,"action"
"13806","Dick",1999,94,6.3,5004,13000000,"comedy"
"13820","Dickie Roberts: Former Child Star",2003,98,5.5,2076,17000000,"comedy"
"13831","Die Another Day",2002,133,6.4,22136,142000000,"action"
"13832","Die Hard",1988,131,8,58870,28000000,"action"
"13834","Die Hard 2",1990,124,6.7,22987,70000000,"action"
"13836","Die Hard: With a Vengeance",1995,131,7,25258,90000000,"action"
"13857","Different",2004,11,7.5,13,5000,"comedy"
"13894","Dilemma",1997,83,3.9,49,2500000,"action"
"13897","Dill Scallion",1999,91,5.1,136,500000,"comedy"
"13898","Dillinger",1945,70,6.3,99,193000,"drama"
"13923","Ding-a-ling-Less",2001,81,8.1,22,1000000,"comedy"
"13941","Dinosaur",2000,82,6.3,5839,127500000,"animation"
"13956","Diplomat, The",2002,29,9,11,77000,"drama"
"13959","Diplomatic Siege",1999,96,3.5,340,45000000,"action"
"13965","Direct Order",2003,55,5.8,6,500000,"documentary"
"14006","Dirty Pretty Things",2002,97,7.6,6274,10000000,"drama"
"14018","Dirty Work",1998,82,5.9,4252,13000000,"comedy"
"14027","Disc",2003,105,7.5,10,2000,"comedy"
"14114","Divine Reality",2001,100,7.1,8,3000,"drama"
"14130","Divorce: The Musical",2002,86,3.4,8,1500000,"comedy"
"14227","Doctor Dolittle",1998,85,5.4,8287,71500000,"comedy"
"14260","Dodgeball: A True Underdog Story",2004,92,6.6,14584,20000000,"comedy"
"14300","Dog of Flanders, A",1999,100,6,179,7000000,"drama"
"14309","Dogma",1999,130,7.3,43391,10000000,"comedy"
"14394","Dom durakov",2002,104,6.8,382,2500000,"drama"
"14408","Domestic Disturbance",2001,91,5.4,4445,53000000,"drama"
"14423","Dominion",1995,95,5,85,1300000,"drama"
"14501","Don't Say a Word",2001,113,6.2,10098,50000000,"drama"
"14548","Donde acaban los caminos",2004,82,8,5,500000,"drama"
"14554","Dong er shi er tiao",1997,14,3.7,10,2000,"drama"
"14578","Donnie Brasco",1997,127,7.6,20029,35000000,"drama"
"14579","Donnie Darko",2001,133,8.3,51961,4500000,"drama"
"14598","Doomed to Failure",2004,7,7.8,9,1000,"documentary"
"14608","Door-to-Door Maniac",1961,80,4.3,21,100000,"drama"
"14609","Doors, The",1991,140,6.7,10363,38000000,"drama"
"14696","Double Impact",1991,109,4.5,2749,16000000,"action"
"14697","Double Indemnity",1944,110,8.5,11592,927262,"drama"
"14699","Double Jeopardy",1999,105,5.9,13587,40000000,"drama"
"14711","Double Tap",1997,87,5.3,184,8000000,"action"
"14755","Down",2001,110,4.5,637,15000000,"action"
"14772","Down Time",2001,90,3.5,55,20000,"drama"
"14778","Down and Out with the Dolls",2001,88,6,37,1200000,"comedy"
"14821","Dr. Dolittle 2",2001,87,5.1,4920,72000000,"comedy"
"14831","Dr. Jekyll and Mr. Hyde",1931,96,7.6,1018,1140000,"drama"
"14835","Dr. Jekyll and Ms. Hyde",1995,90,4.2,573,8000000,"comedy"
"14848","Dr. Monica",1934,53,5.4,26,167000,"drama"
"14850","Dr. No",1962,110,7.2,11864,1100000,"action"
"14853","Dr. Phibes Rises Again",1972,89,6.3,663,75000,"romance"
"14858","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,93,8.7,63471,1800000,"comedy"
"14894","Dragnet",1954,88,6.3,115,500000,"drama"
"14912","Dragonfly",2002,104,5.8,5431,60000000,"drama"
"14915","Dragonslayer",1981,109,6.4,1965,18000000,"action"
"14930","Draw the Pirate",2004,7,8.5,5,50000,"comedy"
"14960","Dream on Silly Dreamer",2005,40,7.7,13,65000,"documentary"
"14964","Dream-Quest of Unknown Kadath, The",2003,100,7.6,30,5000,"animation"
"14970","Dreamer: The Movie",2004,93,9,7,23500,"drama"
"15019","Drifting",2004,21,9.9,41,3000,"drama"
"15023","Driller Killer, The",1979,96,4.4,593,20000,"drama"
"15043","Drive-in Movie Memories",2001,57,8.3,6,225000,"documentary"
"15067","Drop Squad",1994,86,3.9,150,2000000,"drama"
"15068","Drop Zone",1994,101,5.5,3104,45000000,"action"
"15074","Drowning Mona",2000,95,5.4,3454,16000000,"comedy"
"15089","Drugstore Cowboy",1989,100,7.4,4999,2500000,"drama"
"15119","Du Barry Was a Lady",1943,101,6.1,123,1239222,"comedy"
"15170","Dude, Where's My Car?",2000,83,4.6,13330,13000000,"comedy"
"15172","Dudley Do-Right",1999,77,3.6,1790,22000000,"comedy"
"15193","Due occhi diabolici",1990,120,5.3,529,9000000,"comedy"
"15209","Duel in the Sun",1946,144,7,866,8000000,"drama"
"15235","Dumb & Dumber",1994,101,6.6,27713,16000000,"comedy"
"15239","Dumb and Dumberer: When Harry Met Lloyd",2003,85,3.3,4689,19000000,"comedy"
"15249","Dune",1984,190,6.3,16903,45000000,"action"
"15258","Dungeons & Dragons",2000,107,4,7435,35000000,"action"
"15267","Duplex",2003,89,5.7,4334,40000000,"comedy"
"15367","E.T. the Extra-Terrestrial",1982,120,7.8,44175,10500000,"drama"
"15377","Eagle Has Landed, The",1976,131,6.7,2001,6000000,"drama"
"15388","Earl's Your Uncle",2004,19,9.1,28,10000,"comedy"
"15402","Earth Girls Are Easy",1988,100,5,3952,10000000,"comedy"
"15426","East of Hope Street",1998,88,5.6,14,100000,"drama"
"15432","Easter Parade",1948,107,7.4,1093,2503654,"romance"
"15461","Eat My Dust!",1976,89,4.5,95,300000,"comedy"
"15474","Eating",2005,13,9.1,7,60000,"drama"
"15478","Eating Out",2004,90,6.8,182,50000,"comedy"
"15479","Eating Raoul",1982,87,6.4,1351,350000,"comedy"
"15486","Eban and Charley",2000,86,4.5,110,30000,"drama"
"15519","Ed Mort",1997,102,6.8,70,1500000,"comedy"
"15521","Ed and His Dead Mother",1993,86,5.3,413,1800000,"comedy"
"15524","Eddie",1996,100,4.9,1348,30000000,"comedy"
"15550","Edgeplay",2004,110,7.2,17,80000,"documentary"
"15551","Edges of the Lord",2001,95,7,639,7500000,"drama"
"15559","Edmund",2004,18,8.7,7,10000,"drama"
"15563","Edtv",1999,122,6.2,10085,60000000,"comedy"
"15603","Egyptian, The",1954,139,5.7,376,5000000,"drama"
"15605","Ehad Mishelanu",1989,110,7.1,30,500000,"drama"
"15624","Eight Men Out",1988,119,7.3,3689,6000000,"drama"
"15629","Eighteenth Angel, The",1998,95,4.6,557,25000000,"action"
"15689","Election",1999,103,7.4,17521,8500000,"comedy"
"15704","Elegante, El",2003,17,8.6,7,2500,"comedy"
"15706","Elektra",2005,96,4.9,5120,43000000,"action"
"15711","Elephant",2003,81,7.3,9203,3000000,"drama"
"15716","Elephant Man, The",1980,124,8.2,16422,5000000,"drama"
"15721","Elephant's Egg, The",2004,15,4.6,12,30000,"comedy"
"15724","Elevator Movie",2004,95,6.1,13,25000,"drama"
"15727","Elf",2003,95,7,10165,33000000,"comedy"
"15744","Elizabeth",1998,124,7.6,14733,25000000,"drama"
"15763","Elliot Flies",2003,13,4.9,12,1000,"drama"
"15768","Elmer Gantry",1960,146,7.8,1771,3000000,"drama"
"15782","Elvira's Haunted Hills",2001,90,5.2,307,1500000,"comedy"
"15783","Elvira, Mistress of the Dark",1988,96,5.3,1238,20000000,"comedy"
"15873","Emmett's Mark",2002,104,6.2,427,4500000,"drama"
"15876","Emperor Jones, The",1933,80,6.1,98,250000,"drama"
"15882","Emperor's Club, The",2002,109,6.7,3056,12500000,"drama"
"15896","Empire of the Sun",1987,154,7.5,9963,38000000,"drama"
"15900","Employees' Entrance",1933,75,7.2,106,188000,"drama"
"15906","Empty Building, The",2004,40,9.5,11,170000,"drama"
"15986","End of Days",1999,121,5.3,18237,83000000,"action"
"15988","End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,7.6,42,60000,"documentary"
"15989","End of Violence, The",1997,122,5.4,1575,5000000,"drama"
"16039","Enemy, The",2003,34,8.2,147,250000,"documentary"
"16101","Enough",2002,115,4.9,4339,38000000,"drama"
"16103","Enraged New World, An",2002,50,8.9,25,3500,"action"
"16122","Enter the Dragon",1973,99,7.4,8078,850000,"action"
"16158","Envy",2004,99,4.3,3417,40000000,"comedy"
"16168","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The",2003,27,9.5,6,6000,"comedy"
"16182","Equilibrium",2002,107,7.6,17579,20000000,"action"
"16191","Era of Vampire, The",2002,90,4.2,329,1000000,"action"
"16195","Eraserhead",1977,89,7.1,7207,10000,"drama"
"16216","Erin Brockovich",2000,130,7.3,24301,51000000,"drama"
"16227","Ernest Goes to Camp",1987,92,4.4,1562,3000000,"comedy"
"16230","Ernest Rides Again",1993,96,3.6,250,7000000,"comedy"
"16231","Ernest Saves Christmas",1988,95,4.6,1125,6000000,"comedy"
"16270","Err On the Side of Caution",1997,94,6,5,500000,"drama"
"16302","Escanaba in da Moonlight",2001,91,5.5,373,1000000,"comedy"
"16322","Escape from L.A.",1996,101,4.8,7955,50000000,"action"
"16323","Escape from New York",1981,99,6.8,9924,6000000,"action"
"16357","Eskimo",1933,117,7,30,950000,"drama"
"16371","Espera, La",2002,72,8.8,15,100000,"drama"
"16373","Espinazo del diablo, El",2001,108,7.4,3474,4500000,"drama"
"16421","Eternal Embrace",2000,47,9.6,5,96000,"romance"
"16454","EuroTrip",2004,90,6.1,8390,25000000,"comedy"
"16483","Eve's Bayou",1997,109,7.2,2302,5000000,"drama"
"16485","Evelyn",2002,94,7.1,1163,10000000,"drama"
"16490","EvenHand",2002,92,7.3,169,500000,"drama"
"16508","Everlasting Piece, An",2000,103,6.1,475,14000000,"comedy"
"16549","Everything Is Everything",2003,87,8.3,15,10000,"comedy"
"16552","Everything Put Together",2000,87,7.1,151,500000,"drama"
"16554","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,87,6.7,4671,2000000,"comedy"
"16556","Everything in This Country Must",2004,20,7.1,7,250000,"drama"
"16558","Everything's Gone Green",2005,19,9,11,30000,"comedy"
"16567","Evil Alien Conquerors",2002,89,3.8,111,500000,"comedy"
"16600","Evita",1996,134,6.2,8371,55000000,"drama"
"16603","Evolution",2001,101,5.8,14232,80000000,"comedy"
"16629","Excessive Force",1993,90,4.2,214,13000000,"action"
"16643","Executive Decision",1996,134,6.3,7653,55000000,"action"
"16665","Exit Wounds",2001,101,5.3,5370,33000000,"action"
"16676","Exorcist II: The Heretic",1977,118,3.5,3009,14000000,"drama"
"16678","Exorcist, The",1973,132,7.9,34162,1000000,"drama"
"16679","Exorcist: The Beginning",2004,114,5,4130,30000000,"action"
"16710","Explosion",1969,98,4.9,5,500000,"drama"
"16752","Extreme Ops",2002,94,4,1337,40000000,"action"
"16758","Eye for an Eye",1996,101,5.6,1843,20000000,"drama"
"16777","Eyes Wide Shut",1999,159,7,37868,65000000,"drama"
"16803","F.I.S.T.",1978,145,5.7,781,11000000,"drama"
"16833","Facade",2000,93,4.8,93,6000000,"action"
"16858","Face to Face",2003,92,6,9,8000,"drama"
"16862","Faces",1968,130,7.4,770,275000,"drama"
"16877","Factotum",2005,94,6.8,60,1000000,"drama"
"16895","Fahrenheit 9/11",2004,122,7.9,34666,6000000,"documentary"
"16923","Faithful",1996,91,5.6,414,13000000,"comedy"
"16925","Faithless",1932,77,6.6,40,203420,"drama"
"16930","Fake ID",2003,86,3.6,41,100000,"comedy"
"16933","Fakers",2004,85,5.6,58,1800000,"comedy"
"16957","Fall",2000,97,1.5,249,2000000,"action"
"16963","Fall of the Roman Empire, The",1964,184,6.4,996,19000000,"drama"
"16985","Falling Words",1997,19,9.2,13,8000,"drama"
"16996","Falls, The",2003,85,5.7,29,75000,"drama"
"17038","Family Plot",1976,121,6.6,2212,3000000,"comedy"
"17069","Fando y Lis",1967,93,6.6,218,100000,"drama"
"17094","Fantasia",1940,80,7.8,14925,2280000,"animation"
"17098","Fantasia/2000",1999,75,7.4,5353,80000000,"animation"
"17174","Fargo",1996,98,8.2,65597,7000000,"drama"
"17206","Fascist of X-Mart, The",2003,9,5.1,22,1000,"comedy"
"17238","Fast Times at Ridgemont High",1982,90,7.1,10361,4500000,"comedy"
"17247","Fast and the Furious, The",2001,106,5.7,21428,38000000,"action"
"17271","Fatal Attraction",1987,123,6.7,8541,14000000,"drama"
"17315","Father of the Bride Part II",1995,106,5.6,4089,30000000,"comedy"
"17323","Fathers' Day",1997,98,4.7,2714,85000000,"comedy"
"17376","Fear and Desire",1953,68,6.3,225,20000,"drama"
