"","title","year","length","rating","votes"
"8499","Canoeing on the Charles River, Boston, Mass.",1904,2,4.4,8
"8517","Cape Breton Island",1948,9,5.5,6
"8531","Capital City: Washington, D.C., The",1940,9,6.1,14
"8621","Capturing the Friedmans",2003,107,8.2,3170
"8624","Car Bonus",2001,59,7.5,11
"8699","Carl Th. Dreyer: Min metier",1995,96,7,60
"8704","Carlo Giuliani, ragazzo",2002,60,7.6,43
"8706","Carlos Castaneda: Enigma of a Sorcerer",2004,91,9.4,5
"8720","Carmen Miranda: Bananas Is My Business",1995,91,8,75
"8779","Carpati: 50 Miles, 50 Years",1996,80,5,9
"8853","Carvoeiros, Os",1999,65,6.4,33
"8854","Cas Pinochet, Le",2001,110,7.1,60
"8937","Casita blanca. La ciudad oculta, La",2002,82,6.9,11
"8955","Cassis",1966,4,7.6,5
"8982","Casuistry: The Art of Killing a Cat",2004,91,5.3,12
"9030","Catastrophe",1977,95,6.1,9
"9042","Catching Out",2003,79,6.5,27
"9043","Catching Trouble",1950,10,1.4,46
"9053","Catholic School",1999,13,6.2,15
"9070","Cattle Driven to Slaughter",1897,1,3.7,15
"9081","Catwalk",1996,95,5.9,81
"9086","Caudillo",1977,130,7.5,6
"9115","Cavalcade of San Francisco",1940,9,5.5,14
"9141","Ce qu'il reste de nous",2004,77,8,47
"9144","Cease Fire!",1953,75,7.4,15
"9154","Celebration at Big Sur",1971,82,5.4,29
"9155","Celebration: The Music of Pete Townshend and The Who",1994,180,9.7,9
"9169","Celluloid Closet, The",1995,102,7.4,1367
"9170","Celluloid Dreams",2002,47,8,9
"9173","Celsius 41.11: The Temperature at Which the Brain... Begins to Die",2004,72,3.8,584
"9194","Centeotl, Dios del maiz",1989,5,4.7,7
"9201","Centinelas del silencio",1971,18,6.1,12
"9208","Central Park",1989,176,4.9,11
"9214","Century of Cinema, A",1994,72,4.9,143
"9230","Certain Kind of Death, A",2003,69,7.8,63
"9252","Cha ma gu dao xi lie",2004,110,7.5,33
"9267","Chain",2004,99,6.8,25
"9268","Chain Camera",2001,90,6.4,54
"9284","Chained Girls",1965,65,4.3,19
"9303","Challenge the Wilderness",1951,11,5.1,14
"9330","Champagne Safari, The",1995,100,6.4,14
"9342","Champions Forever",1989,90,5.9,28
"9344","Champions of the World",1995,120,9.4,41
"9361","Chang: A Drama of the Wilderness",1927,69,7.6,96
"9362","Change Up",2002,46,9.1,15
"9376","Changing Our Minds: The Story of Dr. Evelyn Hooker",1992,77,6.9,10
"9387","Chantons sous l'occupation",1976,95,7.9,6
"9396","Chaplin's Goliath",1996,54,8,8
"9397","Chaplinesque, My Life and Hard Times",1972,56,8,6
"9419","Charles Mingus: Triumph of the Underdog",1998,78,6.2,22
"9424","Charleston Chain Gang",1902,1,3.7,7
"9479","Charlie: The Life and Art of Charles Chaplin",2003,132,7.4,142
"9528","Chasing the Edge",2004,15,9.2,10
"9561","Che, El",1997,88,6.8,25
"9592","Cheerleader",2003,24,8.8,8
"9605","Chef!",1999,61,5.1,13
"9613","Chelovek s kinoapparatom",1929,68,7.9,1199
"9646","Chernobyl Heart",2003,39,8.9,53
"9683","Chia e tazi pesen?",2003,70,7,18
"9699","Chicago Filmmakers on the Chicago River",1998,77,8.1,17
"9718","Chicken Ranch",1983,74,5.7,30
"9726","Chicken of Tomorrow, The",1948,20,3,40
"9729","Chicks in White Satin",1994,25,5.3,7
"9782","Children Underground",2000,104,8.3,165
"9784","Children of Chabannes, The",1999,93,8.5,17
"9786","Children of Leningradsky, The",2005,35,8.2,19
"9790","Children of Theatre Street, The",1977,90,7.8,18
"9807","Chile, la memoria obstinada",1997,52,7.1,46
"9824","Chimps onder elkaar",1984,55,7.9,8
"9833","China Dolls",1997,30,7.7,5
"9886","Chisholm '72: Unbought & Unbossed",2004,76,7.4,29
"9896","Chlebnyy den",1998,55,8.1,12
"9918","Choke",1999,98,5.6,68
"9931","Chop Suey",2001,98,6.3,84
"9940","Chords of Fame",1984,88,9.6,5
"9947","Choropampa, el precio de oro",2002,65,8.1,6
"9969","Christiania",1977,87,5.2,5
"10001","Christmas on Earth",1963,29,1.1,19
"10003","Christo in Paris",1990,58,7.6,10
"10004","Christo's Valley Curtain",1973,28,7.8,12
"10017","Chronos",1985,40,7.5,107
"10018","Chronotrip",2002,74,4,6
"10029","Chuck Amuck: The Movie",1991,51,7.9,7
"10030","Chuck Berry Hail! Hail! Rock 'n' Roll",1987,120,6.9,167
"10039","Chulas Fronteras",1976,58,7.1,11
"10044","Chung Kuo - Cina",1972,134,7.2,18
"10057","Churchill's Island",1941,21,8,14
"10080","Ciao, Federico!",1971,55,6.6,22
"10094","Ciel et la boue, Le",1961,92,6.8,42
"10101","Cielo gira, El",2004,115,6.3,11
"10109","Cigarette Blues",1985,6,6,8
"10119","Cincinnati: Just Around the Corner",2003,30,8.6,8
"10134","Cineasta da Selva, O",1997,87,7.7,8
"10137","Cinema of Unease: A Personal Journey by Sam Neill",1995,52,6.5,41
"10138","Cinemania",2002,54,7.2,449
"10139","Cinematographer, The",1951,10,6.7,7
"10140","Cinerama Adventure",2002,93,8.6,25
"10141","Cinerama Holiday",1955,119,6.1,11
"10180","Circus Redickuless",1997,88,7.8,5
"10207","Citizen Black",2004,88,7.8,9
"10211","Citizen Langlois",1994,65,5.9,9
"10213","Citizen Shane",2004,59,5,10
"10227","City Life",1990,251,4.7,13
"10240","City at Peace",1998,95,3.5,13
"10249","City of Gold",1957,22,6.9,22
"10253","City of Little Men, The",1938,11,5.6,12
"10298","Claremont Theatre, N.Y.",1915,4,3.3,9
"10320","Class of 83",2004,50,9.6,20
"10329","Claude Jutra, portrait sur film",2002,82,7.2,18
"10330","Claude Sautet ou La magie invisible",2003,85,7.6,9
"10343","Clay Fields",2003,93,5.4,6
"10355","Cleaning Up!",2002,78,7.9,7
"10429","Closer",2000,20,8.7,6
"10430","Closer She Gets, The",2005,99,9,9
"10444","Clouds: Letters to My Son",2001,76,5.4,38
"10446","Clown",1969,11,9.8,6
"10451","Clown in Kabul",2002,58,6.8,11
"10479","Clues to Adventure",1949,11,5.5,6
"10487","Coal Face",1935,11,5.7,21
"10510","Cochon, Le",1970,50,6.2,5
"10517","Cockettes, The",2002,100,6.6,177
"10521","Cockfight",2001,45,7.9,12
"10525","Cocksucker Blues",1972,93,5.9,74
"10564","Coffee, Tea or Me?",2002,70,6.4,5
"10579","Cola Conquest, The",1998,50,8,18
"10620","Colette",1952,21,5.4,6
"10627","Collateral Damages",2003,67,6.9,6
"10632","Collector of Bedford Street, The",2002,36,7.7,18
"10652","Cologne",1939,14,6.7,18
"10661","Color Adjustment",1991,86,6.5,32
"10672","Colorado Cowboy: The Bruce Ford Story",1994,76,4.3,12
"10706","Comandante",2003,99,6.3,454
"10712","Combat America",1943,62,6.4,13
"10722","Come Back, Africa",1960,95,6.9,19
"10763","Comeback, The",1980,78,1.9,29
"10764","Comedian",2002,82,7,1566
"10766","Comedians in Africa, The",1967,11,6.8,27
"10767","Comedians of Comedy, The",2005,103,8.8,8
"10783","Comic Book Confidential",1988,90,6.5,113
"10793","Coming Out Under Fire",1994,72,5.2,28
"10842","Commode Creations: The Artwork of Barney Smith",2004,21,7.7,6
"10871","Company Jasmine",2001,55,8.4,47
"10881","Complaints of a Dutiful Daughter",1994,44,7.1,19
"10882","Compleat Beatles, The",1984,119,7.9,352
"10918","Concert for Bangladesh, The",1972,95,7.7,82
"10920","Concert of Wills: Making the Getty Center",1997,100,6,5
"10964","Confessions of Robert Crumb, The",1987,55,7.7,19
"10965","Confessions of a Burning Man",2003,83,4.7,23
"10982","Confetti Brothers, The",2001,28,7,11
"11024","Conquest of Everest, The",1953,78,7.3,18
"11054","Constant Forge, A",2000,200,7.8,19
"11059","Constellation Jodorowsky, La",1994,91,7.2,48
"11090","Control Room",2004,57,8,1453
"11102","Conversation with Gregory Peck, A",1999,97,6.5,51
"11103","Conversation with Haris, A",2002,6,7.8,6
"11194","Coral Reef Adventure",2003,45,6.2,65
"11219","Corner's",2002,66,8.6,10
"11240","Corporation, The",2003,150,8.4,2106
"11279","Cosa, La",1990,60,6.9,24
"11291","Cosmic Voyage",1996,35,7.1,96
"11292","Cosmic Zoom",1968,8,7.4,15
"11294","Cosmos",1974,33,6.9,23
"11302","Costume Designer, The",1950,9,6.1,6
"11366","Coup",1999,158,5.4,31
"11402","Cousin Bobby",1992,70,6.3,39
"11421","Cover Up",1988,72,7.3,47
"11426","Covered with Chocolate",2001,1,7.3,11
"11446","Cowboy, The",1954,69,3.1,5
"11501","Crash Fans",2003,70,8.3,7
"11514","Cravan vs. Cravan",2002,100,7.5,15
"11531","Crazy Legs Conti: Zen and the Art of Competitive Eating",2004,75,5.6,16
"11548","Crazy World of Laurel and Hardy, The",1967,83,6.8,13
"11556","Cream Will Rise, The",1998,90,7.2,25
"11557","Cream's Farewell Concert",1969,50,7.5,25
"11560","Creative Process: Norman McLaren",1990,117,8.5,14
"11564","Creature",1999,76,5.9,26
"11662","Criminals",1996,73,5.6,6
"11681","Crisis: Behind a Presidential Commitment",1963,52,8.5,25
"11699","Crni film",1971,17,5.3,6
"11728","Crop Circles: Quest for Truth",2002,115,7.2,66
"11796","Cruise of the Zaca",1952,20,5.8,27
"11801","Crumb",1994,119,7.6,3528
"11818","Cry From the Grave, A",1999,150,8,19
"11836","Cry of Jazz",1959,34,7.6,5
"11854","Crystal Voyager",1975,78,4.6,38
"11860","Cuadecuc, vampir",1970,70,3.8,11
"11870","Cuba feliz",2000,96,5.6,37
"11904","Cul de Sac: A Suburban War Story",2002,55,6.2,24
"11917","Cumhuriyet",1998,150,8.1,14
"11919","Cunnamulla",2000,82,6.7,63
"11923","Cuore napoletano",2002,94,6,8
"11935","Cure Show, The",1993,90,6.4,47
"11941","Cure in Orange, The",1987,113,8,66
"11967","Curse of the Dragon",1993,90,6.9,95
"12009","Cutting Edge: The Magic of Movie Editing, The",2004,98,5.6,73
"12024","Cyberman",2001,87,5.2,17
"12052","Czechoslovakia 1968",1969,20,6.3,5
"12064","D'Est",1993,110,5,32
"12065","D-Day Remembered",1994,54,9.4,16
"12076","D.I.Y. or Die: How to Survive as an Independent Artist",2002,55,9.4,10
"12078","D.O.A.",1980,95,6.9,133
"12080","D.W. Griffith: Father of Film",1993,155,7.7,11
"12129","Daddy and Papa",2002,57,8,28
"12131","Daddy and the Muscle Academy",1992,55,6.1,27
"12169","Daguerreotypes",1978,80,5.9,10
"12175","Dahucapra rupidahu",2004,7,7,5
"12182","Daily Beauty Rituals",1937,5,5,9
"12189","Daisy: The Story of a Facelift",1982,58,6.4,7
"12214","Dallas",1985,9,5.6,5
"12239","Dame la mano",2004,112,4.7,8
"12243","Damen und Herren ab 65",2002,70,7.8,7
"12258","Damned in the U.S.A.",1991,68,5.5,24
"12289","Dancemaker",1998,98,7.1,35
"12295","Dances Sacred and Profane",1987,90,8.2,7
"12323","Dandy",1987,93,4.2,24
"12390","Dangerous World of 'Deliverance', The",1972,10,6.7,11
"12398","Dani, Michi, Renato & Max",1987,138,9.1,7
"12421","Dans, Grozny dans",2003,75,5.9,22
"12424","Dansk sexualitet",1969,75,2.4,6
"12453","Dario Argento: Master of Horror",1991,60,3.1,21
"12464","Dark Circle",1983,82,6.5,6
"12473","Dark Days",2000,84,7.5,786
"12508","Dark Shadows Bloopers",1993,45,7.6,11
"12510","Dark Side of Hollywood, The",1998,54,6.5,10
"12535","Darker Side of Black, The",1993,55,5.3,9
"12546","Darkness at High Noon: The Carl Foreman Documents",2002,120,3.8,19
"12562","Darwin's Nightmare",2004,107,7.6,138
"12563","Das Bus",2003,94,6.4,11
"12578","Date with Your Family, A",1950,10,2.1,74
"12590","Daughter From Danang",2002,83,7.8,152
"12591","Daughter Rite",1979,49,2.9,17
"12597","Daughter of Suicide",2000,72,1.9,5
"12610","David Cronenberg: I Have to Make the World Be Flesh",1999,68,7.1,33
"12623","David, Moffett, and Ornette: The Ornette Coleman Trio",1966,26,8.6,5
"12648","Day After Trinity, The",1980,88,7.1,56
"12651","Day I Will Never Forget, The",2002,90,7.7,27
"12663","Day at the Fair, A",1947,10,2.2,27
"12668","Day in the Life of a Coal Miner, A",1910,9,6.4,21
"12678","Day of the Dead",1957,15,3,11
"12682","Day of the Fight",1951,16,6.1,272
"12691","Day on Treasure Island, A",1939,10,6,6
"12708","Daybreak Express",1953,5,7.6,32
"12716","Days of Fury",1978,91,6.4,9
"12720","Days of Our Years, The",1955,20,3,32
"12721","Days of Thrills and Laughter",1961,93,7.5,46
"12744","De nens",2004,180,9,5
"12759","Dead Birds",1965,85,7.3,27
"12777","Dead End Kids",1986,87,5.9,58
"12879","Deadly Currents",1991,115,7.7,10
"12950","Dear Diary: A Film About Female Puberty",1981,26,6.1,6
"12956","Dear Jesse",1998,82,7,73
"12997","Death Mills",1945,22,8.3,5
"13001","Death Riders",1976,88,1,7
"13027","Death by Design: Where Parallel Worlds Meet",1997,70,9.3,10
"13029","Death by Misadventure",1993,92,6.3,23
"13032","Death in Gaza",2004,80,8.1,152
"13042","Death of a Nation: The Timor Conspiracy",1994,60,7,16
"13055","Death: A Love Story",1999,64,7.4,7
"13082","Decade Under the Influence, A",2003,108,7,311
"13083","Decade for Decision",1957,15,3.7,9
"13094","December 7th",1943,82,5.8,79
"13109","Decline of Western Civilization Part II: The Metal Years, The",1988,93,6.6,297
"13110","Decline of Western Civilization Part III, The",1998,86,5.2,38
"13111","Decline of Western Civilization, The",1981,100,7.3,296
"13124","Deep Blue",2003,91,7.2,363
"13127","Deep Blues",1991,91,5.6,28
"13139","Deep Inside Annie Sprinkle",1981,97,5,30
"13163","Defending Our Lives",1993,30,8.2,5
"13171","Defilada",1989,60,9.9,8
"13183","Del olvido al no me acuerdo",1999,75,7.4,26
"13266","Demoiselles ont eu 25 ans, Les",1993,64,7,18
"13268","Demolishing and Building Up the Star Theatre",1901,2,6.7,36
"13275","Demon Lover Diary",1980,90,2.6,49
"13297","Demystifying the Devil: Biography Marilyn Manson",2000,90,4.8,34
"13311","Denk ich an Deutschland - Herr Wichmann von der CDU",2003,80,7.8,68
"13343","Derailroaded",2005,86,8.3,6
"13347","Derby",1971,96,5.9,10
"13366","Dernier trappeur, Le",2004,94,7,58
"13370","Derrida",2002,84,6.5,133
"13382","Des morts",1981,105,4.2,13
"13393","Desencanto, El",1976,97,9,54
"13400","Desert Dogs",2001,42,8.7,7
"13416","Desert Regatta",1932,10,4.5,15
"13423","Desert Victory",1943,60,7.8,32
"13482","Desperate Man Blues",2003,52,6.2,15
"13516","Destiny in Space",1994,40,6,60
"13567","Deuda",2004,90,6.5,31
"13576","Deutsche Polizisten: Viele Kulturen - Eine Truppe",1999,60,8.7,19
"13578","Deutschen Volke, Dem",1996,98,8.9,8
"13580","Deutschland im Herbst",1978,134,7.2,138
"13628","Devil You Know: Inside the Mind of Todd McFarlane, The",2001,44,4.9,30
"13629","Devil and Daniel Johnston, The",2005,109,8.1,38
"13640","Devil in the Holy Water, The",2002,95,6.2,6
"13664","Devil's Miner, The",2005,82,8.3,6
"13667","Devil's Playground",2002,77,7.3,428
"13674","Devil's Triangle, The",1974,52,5.8,28
"13695","Dexterity",1937,9,6.5,7
"13697","Deza-Femijet (Kosovo 2000)",2001,90,6.4,15
"13698","Dezember, 1-31",1999,97,4.6,13
"13710","Di Cavalcanti",1977,18,5.6,13
"13713","DiG!",2004,107,8,350
"13725","Diablo nunca duerme, El",1994,87,7.4,8
"13740","Dial H-I-S-T-O-R-Y",1998,68,7.8,19
"13744","Dialogo di Roma, Il",1982,62,5.3,6
"13763","Diamonds and Rust",2001,73,8,6
"13773","Diaries, Notebooks and Sketches",1969,177,6.4,12
"13776","Diario di una siciliana ribelle",1997,56,3.3,20
"13781","Diary for Timothy, A",1945,40,6.8,35
"13801","Dice Rules",1991,88,4.6,176
"13822","Did Anyone Notice Us? Gay Visibility in the Irish Media 1973-1993",2003,74,2.8,7
"13829","Didn't Do It for Love",1997,81,3.3,15
"13851","Dieses Jahr in Czernowitz",2004,134,9.1,14
"13890","Dildo Diaries",2002,63,8.6,30
"13955","Diplomat, The",2000,52,8.1,6
"13965","Direct Order",2003,55,5.8,6
"13966","Directed by John Ford",1971,99,5.3,59
"13967","Directed by William Wyler",1986,60,7.7,135
"13976","Dirt",1979,95,5.8,7
"13986","Dirty Dancing Concert Tour",1988,87,3.5,15
"13998","Dirty Harry's Way",1971,7,5.8,13
"14039","Discovering Hamlet",1990,53,4.3,8
"14083","Distributing a War Extra",1899,1,3.6,9
"14096","Divan",2003,90,6.2,28
"14101","Divide and Conquer",1943,57,7.3,64
"14103","Divided Highways: The Interstates and the Transformation of American Life",1997,87,9,7
"14111","Divine Horsemen: The Living Gods of Haiti",1985,52,5.8,18
"14117","Divine Trash",1998,97,7.1,203
"14118","Divine Waters",1985,110,5.6,10
"14119","Divine carcasse",1998,88,5.5,22
"14124","Divorce Iranian Style",1998,80,7,38
"14135","Dix minutes de silence pour John Lennon",1980,10,8.3,14
"14136","Dix-sept ans",2003,83,6,7
"14174","Do It",2000,97,6.1,19
"14182","Do You Remember Laurie Zimmer?",2003,54,7.6,7
"14183","Do You Remember the First Time?",1994,26,8.5,6
"14253","Document of the Dead",1989,84,5.2,135
"14254","Documentary on the Making of 'Gore Vidal's Caligula', A",1981,56,3.7,20
"14313","Dogora - Ouvrons les yeux",2004,80,6.4,24
"14326","Dogtown and Z-Boys",2001,91,7.4,1555
"14329","Dogville Confessions",2003,52,3.6,180
"14343","Doing Time, Doing Vipassana",1997,52,9.6,5
"14357","Dokument Fanny och Alexander",1986,110,8,124
"14362","Dolce",2000,61,5.5,27
"14390","Dolphins",2000,40,7.3,107
"14395","Dom kallar oss mods",1968,100,7.2,159
"14403","Domeinen Ditvoorst, De",1992,112,5.5,5
"14409","Domestic Violence",2001,196,7,33
"14410","Domestic Violence 2",2002,160,7.3,16
"14414","Dominans",1994,38,4.4,7
"14518","Donald Cammell: The Ultimate Performance",1998,75,7,32
"14524","Donald in Mathmagic Land",1959,27,7.9,239
"14572","Donna nel mondo, La",1963,110,5.6,31
"14586","Dont Look Back",1967,96,7.5,1026
"14598","Doomed to Failure",2004,7,7.8,9
"14630","Doroga k zvezdam",1958,48,6,37
"14656","Dot",2002,92,6.3,35
"14683","Double Dare",2004,81,4.6,142
"14743","Doulaye, une saison des pluies",2000,80,6.3,9
"14745","Douro, Faina Fluvial",1931,18,7.5,27
"14763","Down From the Mountain",2000,98,6.9,193
"14776","Down and Out in America",1986,57,6,14
"14803","Downtown Switzerland",2004,94,6.8,11
"14936","Dream Comes True, A",1935,8,6.5,38
"14937","Dream Deceivers: The Story Behind James Vance Vs. Judas Priest",1992,60,6.1,27
"14941","Dream Girls",1994,50,6.7,11
"14943","Dream Is Alive, The",1985,37,7.8,107
"14960","Dream on Silly Dreamer",2005,40,7.7,13
"14977","Dreamland: A History of Early Canadian Movies 1895-1939",1974,86,8.4,6
"15016","Drifters",1929,49,7.6,21
"15040","Drive-In Madness!",1987,60,2.4,17
"15042","Drive-by Shooting",1994,120,9.8,8
"15043","Drive-in Movie Memories",2001,57,8.3,6
"15050","Driving Cattle to Pasture",1904,1,3.3,6
"15071","Drowned Out",2002,75,7.1,6
"15077","Drowning in Dreams",1997,72,2.7,18
"15162","Ducktators",1997,46,6.6,10
"15173","Due Kennedy, I",1969,121,6,8
"15202","Duel",1969,1,8,6
"15214","Duende y misterio del flamenco",1952,110,5.4,5
"15224","Dukhovnyye golosa. Iz dnevnikov voyny. Povestvovanie v pyati chastyakh",1995,328,7.8,14
"15245","Dummy Doc",1993,5,6.6,6
"15290","Dust to Glory",2005,97,7.6,57
"15308","Dva kapitana II",1993,70,7.1,28
"15321","Dworzec",1980,14,4,11
"15328","Dying at Grace",2003,148,8.4,29
"15346","DysFunktional Family",2003,89,5.6,207
"15390","Early Amateur Sound Film",1937,4,6.2,7
"15395","Early Sports Quiz: What's Your I.Q. No. 13",1947,9,5.3,8
"15418","East Side Story",1997,78,7.2,70
"15450","Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",2003,119,7.1,307
"15462","Eat This New York",2004,80,5.9,14
"15468","Eat the Document",1972,54,6.9,35
"15488","Ebba the Movie",1982,78,6.5,35
"15517","Ed",1999,11,3.1,23
"15550","Edgeplay",2004,110,7.2,17
"15568","Education of Gore Vidal, The",2003,84,6.3,14
"15572","Edward Said: The Last Interview",2004,120,9.4,5
"15609","Ei ist eine geschissene Gottesgabe, Das",1993,90,8.4,15
"15611","Eich Hifsakti L'fahed V'lamadeti L'ehov et Arik Sharon",1997,61,8.2,6
"15648","Einstein on the Beach: The Changing Image of Opera",1986,58,7.1,13
"15677","El Perro Negro: Stories from the Spanish Civil War",2005,84,5.6,5
"15678","El Salvador: Another Vietnam",1981,53,6.1,7
"15688","Eleanor Roosevelt Story, The",1965,90,7.5,10
"15692","Electric Boogie",1983,30,5.5,6
"15698","Electrical Power",1938,10,5.8,7
"15699","Electrocuting an Elephant",1903,1,4.3,79
"15705","Elegiya",1985,30,9,7
"15729","Elia Kazan: A Director's Journey",1995,75,7,7
"15775","Elsewhere",2001,240,8.5,30
"15785","Elvis & June: A Love Story",2002,46,1,8
"15789","Elvis In Hollywood",1993,60,2.5,20
"15793","Elvis On Tour",1972,93,6,219
"15798","Elvis: That's the Way It Is",1970,94,7,422
"15851","Emmanuel's Gift",2005,80,6.7,7
"15886","Empire",1964,485,5.5,46
"15893","Empire of the Air: The Men Who Made Radio",1991,100,8.2,54
"15912","En attendant la cigogne",1997,16,9.2,5
"15951","Enan no musume",2001,120,7.2,6
"15988","End of Suburbia: Oil Depletion and the Collapse of the American Dream, The",2004,78,7.6,42
"15992","End of the Century",2003,110,7.7,240
"16006","End, The",2000,41,8.1,42
"16015","Endless Summer 2, The",1994,109,7,435
"16016","Endless Summer, The",1966,95,7.3,580
"16017","Endless Winter",1995,93,5.8,12
"16022","Endurance",1999,83,5.8,82
"16023","Endurance: Shackleton's Legendary Antarctic Expedition, The",2000,90,7.8,472
"16039","Enemy, The",2003,34,8.2,147
"16052","Enfants de l'amour, Les",2002,90,6.3,46
"16064","Enfin pris?",2002,93,6.5,25
"16094","Ennio Morricone: la musica negli occhi",1990,58,9.8,5
"16106","Enron: The Smartest Guys in the Room",2005,110,8,198
"16141","Entre deux soeurs",1990,24,8.6,9
"16150","Entreatos",2004,117,9,28
"16181","Equestrian Acrobatics",1937,8,6.2,5
"16196","Erba proibita, L'",2002,95,8.2,5
"16217","Erinnerungen an die Zukunft",1970,92,5.3,83
"16235","Ernesto Che Guevara, das bolivianische Tagebuch",1994,92,4.7,27
"16285","Eruption of Mount St. Helens!, The",1980,25,6.4,39
"16362","Esmeraldero",2002,117,3.1,10
"16365","Espalda del mundo, La",2000,89,8,45
"16377","Espoir, L'",1945,76,7.1,28
"16382","Essai d'ouverture",1988,15,6.5,7
"16383","Essen, schlafen, keine Frauen",2002,77,7.7,12
"16385","Essene",1972,86,6,8
"16391","Estamira",2004,121,8.6,18
"16429","Eternity",1994,56,8.2,8
"16460","Europe in the Raw",1963,72,1,11
"16504","Everest",1998,44,7.3,863
"16514","Every Day Except Christmas",1957,37,5.2,13
"16522","Every Girl's Dream",1966,9,5.3,14
"16531","Everybody Just Stay Calm",1994,60,5.8,11
"16601","Evita, una tumba sin paz",1997,60,7.4,7
"16604","Evolution of Snuff, The",1978,79,5.6,13
"16638","Execution of Wanda Jean, The",2002,88,7.3,45
"16650","Exil Shanghai",1997,275,4.3,13
"16652","Exile in Sarajevo",1997,90,3.6,13
"16656","Exiles, The",1961,72,6.4,12
"16691","Experience",1968,29,6.5,21
"16781","Eyes of Tammy Faye, The",2000,79,7.4,424
"16787","Eyes of the Navy",1940,20,5.3,15
"16807","F.T.A.",1972,94,3.6,22
"16815","FHAR",1971,26,9,7
"16816","FIX: The Story of an Addicted City",2002,92,8.1,31
"16823","Fabryka",1971,17,6.2,19
"16827","Fabuloso Fittipaldi, O",1973,99,6.1,10
"16850","Face of War, A",1968,72,8.1,12
"16863","Faces of Death",1978,85,3.4,645
"16864","Faces of Death 2",1981,85,2.6,268
"16865","Faces of Death 3",1985,91,2.2,189
"16866","Faces of Death 4",1990,90,2.3,175
"16867","Faces of Death 5",1995,90,2,91
"16868","Faces of Death 6",1996,70,1.5,93
"16869","Faces of Death: Fact or Fiction?",1999,54,2.3,68
"16870","Faces of Gore",1999,89,4.3,40
"16871","Faces of Gore 2",2000,90,2.7,17
"16872","Faces of Gore 3",2000,90,3.6,5
"16875","Facing the Music",2001,89,8.3,47
"16884","Fade to Black",2004,109,4.5,110
"16895","Fahrenheit 9/11",2004,122,7.9,34666
"16909","Fairuz, we hielden zoveel van mekaar",2003,80,6.6,5
"16910","Fairy Faith, The",2000,75,6.6,25
"16926","Faits divers",1983,108,5,68
"16935","Fala Tu",2003,74,6.9,8
"16954","Falkenau, the Impossible",1988,52,8.2,6
"16969","Fallen Angel: Gram Parsons",2004,90,7.4,17
"16995","Falls, The",1991,89,6.6,25
"17031","Family Fundamentals",2002,75,6.9,35
"17036","Family Name",1997,89,3.5,15
"17039","Family Portrait",1950,25,5.5,6
"17040","Family Portrait",2004,28,9.7,7
"17052","Famous Boners",1942,10,6.1,5
"17062","Fanalysis",2002,26,7.7,91
"17070","Fandom",2004,96,9.2,12
"17091","Fans and Freaks: The Culture of Comics and Conventions",2002,80,7.9,11
"17096","Fantasia Legacy: The Concert Feature, The",2000,50,7.3,20
"17118","Fantasy Film Worlds of George Pal, The",1985,93,7.2,35
"17182","Farm Family: In Search of Gay Life in Rural America",2004,73,7.7,9
"17187","Farm: Angola, USA, The",1998,88,7.7,147
"17194","Farmer's Wife, The",1998,390,8.5,52
"17197","Farmingville",2004,79,6.9,47
"17200","Farrebique ou les quatre saison",1946,90,6.6,18
"17210","Fassbinder in Hollywood",2002,57,7.4,18
"17239","Fast Trip, Long Drop",1994,54,7.2,6
"17251","Fast, Cheap & Out of Control",1997,80,7.3,988
"17252","Faster",2003,103,6.4,93
"17260","Faszination Natur - Seven Seasons",2004,86,6.6,7
"17287","Fatal Reaction: Singapore",1997,90,2.6,5
"17308","Father Roy: Inside the School of Assassins",1997,56,3,12
"17368","Fear & Favor in the Newsroom",1996,57,8.7,16
"17398","Feast of Friends",1970,50,6.2,5
"17414","Federico Fellini - un autoritratto ritrovato",2000,55,7.8,18
"17417","Feed",1992,76,6.5,61
"17458","Fellini: Je suis un grand menteur",2002,105,6.7,97
"17459","Fellow Americans",1942,11,4.7,8
"17467","Female Misbehavior",1992,80,7.1,12
"17518","Fengkuang yingyu",1999,90,6.1,22
"17538","Fernando ha vuelto",1998,31,8.5,14
"17545","Ferry Tales",2003,40,8.1,22
"17547","Fest des Huhnes, Das",1992,55,7.8,15
"17553","Festival",1967,95,7,21
"17555","Festival Express",2003,90,7.3,305
"17584","Fever Pitch",2001,27,5.8,40
"17606","Fidel",2001,91,7.7,85
"17635","Fiesta de todos, La",1979,110,1.5,15
"17660","Fight for the Sky, The",1945,20,3,7
"17661","Fight, The",2004,90,7.9,39
"17662","Fighter",2000,91,7.6,53
"17664","Fighter Pilot: Operation Red Flag",2004,40,7.4,16
"17686","Fighting Lady, The",1944,61,7.1,21
"17736","Fillmore",1972,105,7.1,22
"17744","Film House Fever",1986,58,4.6,8
"17746","Film Parade, The",1933,25,5,5
"17747","Film Portrait",1972,81,6.9,7
"17749","Film That Was Lost, The",1942,10,7.9,15
"17750","Film as a Subversive Art: Amos Vogel and Cinema 16",2003,56,7.3,14
"17752","Film ist.",1998,62,5.2,8
"17753","Film ist. 7-12",2002,90,8.8,7
"17760","Filming 'Othello'",1978,84,6.3,31
"17761","Filmmaker",1968,64,4.2,46
